oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
in;L65190MH2004GOI148838;in;58191;IDBI Bank
au;000017372;au;49212;Amcor
gb;04412362;gb;49209;Next
au;119339463;au;170586;Mirvac Group
fr;439141383;fr;776740;CSP Inc.
fr;954506077;fr;2611630;Renault Trucks
fr;720501410;fr;2791860;Davey Bickford
in;L28920MH1945PLC004520;in;776653;Tata Motors Ltd
ch;538527;ch;39999;Syngenta International AG
se;556807-3570;se;50345;Lundbergs
ie;392635;ie;56676;Pfizer
se;556047-9742;se;49434;Kinnevik
nl;30185343;nl;48114;Ageas
ca;4281781;ca;47883;Power Corp of Canada
us_pa;4116238;us_de;862441;American Eagle Outfitters
gb;07524813;gb;47793;Rolls-Royce Holdings
dk;17616617;dk;58487;Jyske Bank
au;128004268;au;975112;Lion
in;L65920MH1994PLC080618;in;56303;HDFC
us_ca;C1587699;us_ca;45768;Applied Materials
fr;582110987;fr;48305;Christian Dior
sg;193200032W;sg;47828;Oversea-Chinese Banking
fr;403210032;fr;48643;Veolia Environnement
fr;712049618;fr;48929;Essilor International
hk;0681388;hk;58002;Hong Kong Exchanges
us_ny;31826;us_de;50140;Interpublic Group
fi;1524749-5;fi;57838;Neste Oil
ch;390700;ch;47459;Credit Suisse Group
nl;11031866;nl;974332;FrieslandCampina
gb;03528416;gb;40549;SABMiller plc
gb;02078692;gb;2855873;Bristol Airport Limited
gb;04266373;gb;2855881;UKTV Media Limited
gb;08632631;gb;2855916;TT Werkhoven Limited
gb;08014954;gb;2872544;C8 Associates Ltd
fr;352849327;fr;2624298;Tarkett
gb;06311363;gb;2884375;GrowHow UK Limited
gb;05230809;gb;2872503;ITRI Ltd
gb;07798594;gb;2872524;Awridian Ltd
gb;09089303;gb;2872461;Public Policy Matters Ltd
gb;07720003;gb;2872480;FromOverHere Ltd
gb;06812248;gb;2872499;Aphaia Ltd
ch;660291;ch;2871532;Dow Europe GmbH
gb;04904708;gb;2855935;Devant Limited
gb;03716623;gb;2855889;Quintessa Limited
gb;05562053;gb;2854277;Drax Group plc
es;06345375;es;2806011;ADASA
dk;89866618;dk;2805175;BoConcept
nl;34196963;nl;2803527;Atradius NV
fr;393502463;fr;2803531;Solystic
hr;03017303;hr;2802431;Vindija
es;25360298;es;2799624;Garrigues
es;08110249;es;2799598;Basi S.A.
fr;542005376;fr;2799521;Faurecia
es;08018939;es;2796876;Freixenet S.A.
au;057723538;au;2794761;Allens
es;20957684;es;2791835;TECCI
dk;84364517;dk;2791874;Pressalit Group
fr;430188219;fr;2791778;Credit Mutuel
fr;348494915;fr;2789398;Vranken-Pommery Monopole
fr;479090979;fr;2789420;BioMerieux
es;08225013;es;2789372;Areas S.A.
be;0413178230;be;2674486;Rosy Blue
es;28078020;es;2668055;3M Espana
es;60583879;es;2668039;Mutua Universal
hk;F0004800;bm;2632985;Great Eagle Holdings Ltd
in;L45200MH1999PLC118949;in;2632998;Mahindra Lifespace Developers Ltd
hk;F0010786;hk;2631051;ENN Energy Holdings
gb;04100612;gb;2631077;Persimmon
gb;01819699;gb;2630514;Derwent London
no;911382008;no;2624248;Elkem AS
bd;C-558;bd;2624300;Bangladesh Bank
gb;00714275;gb;2624161;IMI Plc
nz;245326;nz;2624172;Cavalier Corporation
ch;713419;ch;2624201;Triumph International
in;L26943RJ1979PLC001935;in;2624140;Shree Cement Limited
es;09276528;es;2624156;Grupo Antolin
se;559037-0515;se;2618124;AF AB
nz;383027;nz;2618024;Hubbard Foods Ltd
se;556045-2103;se;2617985;JM AB
se;556619-5565;se;2617989;Nobel Biocare
nz;1108599;nz;2615841;Pumpkin Patch Ltd
es;82383449;es;2612093;Jazztel
es;48766695;es;2612026;Euskaltel SA
fi;0112038-9;fi;2611618;Nokia Networks
ca_nb;688158;ca_nb;2608763;CSA Group
fr;393525852;fr;2608772;Nexans
se;556694-2560;se;2605022;Nudie Jeans
in;L24100MH1983PLC029442;in;2602199;Lupin Ltd
es;08000630;es;2590894;Ercros S.A.
nl;18112942;nl;2432936;Desso
za;2006-023988-07;za;2314451;AfriSam
es;78366382;es;2315848;Sacyr, S.A.
no;988390011;no;859992;Aleris
us_ca;C1538378;us_de;2274974;STAAR Surgical Company
us_ca;C2205207;us_de;2274198;Xenoport Inc.
us_ga;H859095;us_de;2271574;Rollins Inc.
us_ca;C2263206;us_de;2271426;OpenTable Inc.
us_ca;C2561773;us_de;2270381;Imperva Inc.
us_ca;C2268307;us_de;2262978;Ceva Inc.
us_ca;C2079416;us_de;2262959;Intermune Inc.
us_va;F0218166;us_de;2241831;Versar Inc.
fr;824591549;fr;1779099;ESCP Europe
dk;26891280;dk;50486;G4S
nl;32117314;nl;2615907;Australian Homemade
ch;835365;ch;2608726;BLS AG
fr;522509181;fr;50965;ICAP
fr;348698754;fr;2799563;IFOP
ch;1025311;ch;2873892;UL AG
hk;0145656;hk;2638336;CITIC Limited
ie;477442;ie;60924;LinkedIn
no;977047552;no;2611976;Statnett
us_co;20081186601;us_de;2270376;Starz
be;0885819836;be;2615440;ONE Group
nl;67470041;nl;919398;Eneco Groep
gb;00945878;gb;2884371;WINDSOR PLC
gb;06412951;gb;2872521;Pleione Ltd
fr;562094425;fr;911793;ArcelorMittal France
gb;FC000011;gb;56699;BHP Billiton
hk;F0019945;hk;2631048;WH Group
gb;01142830;gb;2631007;3i Group
gb;00191285;gb;2608846;Rexam Inc
au;105787577;au;2631103;APA Group
nl;33220924;nl;48153;ArcelorMittal
se;556068-5819;se;2637363;CONCORDIA Maritime
nl;14628300;nl;2722923;Macintosh Retail Group
ch;136114;ch;2722937;Phoenix Mecano AG
