company,wikirate_company,status,accept_status,aliases
Legal & General Group,,none,,"legal & general group,legalandgeneral,Legal & General"
Schneider Electric,,none,,"schneider electric,schneider electric se,schneider electric sa,schneiderelectric"
DNB,,none,,
Lockheed Martin,,none,,"lockheed martin,lockheed martin corporation,lockheedmartin"
Surgutneftegas,,none,,
Nippon Steel & Sumitomo Metal,,none,,"nippon steel & sumitomo metal,nsc"
China Everbright Bank,,none,,"china everbright bank,cebbank"
Itochu,,none,,
Carrefour,Carrefour S.A.,partial,1,
Bank of New York Mellon,,none,,"bank of new york mellon,bny mellon,bnymellon,Bank of New York ,Mellon Financial"
EMC,EMC,exact,,"EMC Corporation,RSA"
Costco Wholesale,,none,,"costco wholesale,costco wholesale corporation,costco,Costco"
China State Construction,,none,,"china state construction,cscec"
Freeport-McMoRan Copper,,none,,"freeport-mcmoran copper,freeport-mcmoran copper & gold,freeport mcmoran inc.,fcx,Freeport-McMoRan,Phelps Dodge"
Telstra,,none,,
LyondellBasell Industries,,none,,"lyondellbasell industries,lyondellbasell,Lyondell ,LyondellBasell"
China Pacific Insurance,,none,,"china pacific insurance,china pacific insurance group,cpic"
Abbott Laboratories,,none,,"abbott laboratories,abbott"
Gas Natural Fenosa,,none,,"gas natural fenosa,gasnaturalsdg,Unión Fenosa (now Gas Natural)"
Aetna,,none,,
Aegon,,none,,
Ericsson,Ericsson,exact,,
Posco,,none,,
East Japan Railway,,none,,"east japan railway,east japan railway company,jreast"
Brookfield Asset Management,,none,,"brookfield asset management,brookfield"
BlackRock,,none,,
Archer Daniels Midland,Archer Daniels Midland,exact,,"archer daniels midland,admworld"
McKesson,,none,,
Heineken Holding,Heineken International,partial,1,"heineken holding,heineken,heinekeninternational,Heineken"
People's Insurance Company,,none,,"people's insurance company,picc"
Shinhan Financial Group,,none,,"shinhan financial group,shinhangroup"
Natixis,,none,,
Time Warner Cable,,none,,"time warner cable,time warner cable inc.,timewarnercable"
General Dynamics,,none,,"general dynamics,generaldynamics"
AbbVie,,none,,AbbVie Inc.
EXOR,,none,,
Bristol-Myers Squibb,IBM (International Business Machines Corporation),partial,0,"bristol-myers squibb,bristol-myers squibb co.,bms"
SEB,,none,,"seb,sebank"
FedEx,,none,,FedEx Kinko's
Halliburton,Halliburton,exact,,
Danaher,,none,,Danaher Corp.
Marathon Petroleum,,none,,"marathon petroleum,marathonpetroleum,Marathon Petroleum Corp."
Sun Life Financial,,none,,"sun life financial,sunlife"
Linde,,none,,
NextEra Energy,,none,,"nextera energy,nextera energy, inc.,fpl group,nexteraenergy"
Canadian Natural Resources,,none,,"canadian natural resources,cnrl"
Transneft,,none,,
Rolls-Royce Holdings,,none,,"rolls-royce holdings,rolls-royce,Rolls-Royce plc"
Imperial Tobacco Group,,none,,"imperial tobacco group,imperial-tobacco,Imperial Tobacco"
Bridgestone,,none,,
Cigna,,none,,
Standard Bank Group,,none,,"standard bank group,sbic,Standard Bank"
Svenska Handelsbanken,,none,,"svenska handelsbanken,handelsbanken"
BCE,,none,,
Centrica,,none,,
National Oilwell Varco,Lenovo Group Ltd.,partial,0,"national oilwell varco,nov"
Teva Pharmaceutical Inds,,none,,"teva pharmaceutical inds,teva pharmaceutical industries,tevapharm,Teva Pharmaceutical"
Swedbank,,none,,
Oversea-Chinese Banking,,none,,"oversea-chinese banking,ocbc,OCBC Bank"
Directv,,none,,
Dai-ichi Life Insurance,,none,,"dai-ichi life insurance,dai-ichi-life"
Marubeni,,none,,
Fresenius,,none,,
China Communications Construction,,none,,"china communications construction,ccccltd"
Central Japan Railway,,none,,"central japan railway,jr-central"
Kroger,,none,,
Johnson Controls,,none,,"johnson controls,johnson controls, inc.,johnsoncontrols"
China Railway Construction,,none,,"china railway construction,crcc"
Emerson Electric,,none,,"emerson electric,emersonelectric"
Teliasonera,,none,,
Wilmar International,Wilmar International,exact,,"wilmar international,wilmar-international,Wilmar"
Dominion Resources,,none,,"dominion resources,dom,Dominion Resources Inc."
China Railway Group,,none,,"china railway group,crec"
Sasol,,none,,
CaixaBank,,none,,
Reckitt Benckiser Group,Starbucks Corporation,partial,0,"reckitt benckiser group,rb"
Telenor,,none,,Telenor ASA
Power Corp of Canada,,none,,"power corp of canada,powercorp,Power Corporation of Canada"
Raytheon,,none,,
SSE,,none,,Scottish and Southern Energy
Mitsubishi Heavy Industries,,none,,"mitsubishi heavy industries,mhi"
Chubb,,none,,Chubb Group
Mitsubishi Electric,,none,,"mitsubishi electric,mitsubishielectric"
American Electric,,none,,"american electric,american electric power,aep"
Northrop Grumman,,none,,"northrop grumman,northropgrumman"
Kraft Foods Group,Kraft Foods Group Inc.,partial,1,"kraft foods group,kraft foods,kraft foods, inc.,kraftfoodsgroup"
Takeda Pharmaceutical,,none,,"takeda pharmaceutical,takeda pharmaceutical company ltd.,takeda pharmaceutical co. ltd.,takeda"
Discover Financial Services,,none,,"discover financial services,discoverfinancial"
Sumitomo Mitsui Trust,,none,,"sumitomo mitsui trust,sumitomo mitsui trust holdings, inc.,smth"
Samsung Life Insurance,Samsung,partial,2,"samsung life insurance,samsunglife"
Las Vegas Sands,,none,,"las vegas sands,lasvegassands"
Baxter International,,none,,"Baxter,Baxter International, Inc."
Anadarko Petroleum,,none,,"anadarko petroleum,anadarko"
Michelin Group,,none,,Michelin
Sun Hung Kai Properties,,none,,"sun hung kai properties,shkp"
Ameriprise Financial,,none,,"ameriprise financial,ameriprise"
Kimberly-Clark,,none,,Kimberly-Clark Corporation
United Overseas Bank,,none,,"united overseas bank,uobgroup"
KB Financial Group,,none,,"kb financial group,kbfng"
Mapfre,,none,,
Viacom,,none,,
Lafarge,,none,,
Thermo Fisher Scientific,,none,,"thermo fisher scientific,thermofisher"
Sistema,,none,,
Canadian National Railway,CNET,partial,0,"canadian national railway,cn"
Orix,,none,,
Talanx,,none,,
TransCanada,,none,,
Lloyds Banking Group,,none,,"lloyds banking group,lloydsbankinggroup"
Isbank,,none,,
CSX,,none,,CSX Transportation
Norfolk Southern,,none,,"norfolk southern,nscorp"
Cathay Financial,,none,,"cathay financial,cathayholdings"
Huaneng Power International,,none,,"huaneng power international,hpi"
Glencore International,,none,,"glencore international,glencore xstrata,glencore,Xstrata"
Qatar National Bank,,none,,"qatar national bank,qatarbank"
Sampo,,none,,
Magna International,,none,,"magna international,magnaint"
Komatsu,,none,,Komatsu Ltd.
Inpex,,none,,
Illinois Tool Works,,none,,"illinois tool works,itwinc"
Humana,,none,,
Fuji Heavy Industries,,none,,"fuji heavy industries,fhi"
Syngenta,Syngenta AG,partial,1,
Colgate-Palmolive,Colgate-Palmolive,exact,,"colgate-palmolive,colgate-palmolive company,colgatepalmolive"
NTPC,,none,,
Royal Bank of Scotland,Starbucks Corporation,partial,0,"royal bank of scotland,royal bank of scotland group,rbs"
Tencent Holdings,,none,,"tencent holdings,tencent"
Prudential Financial,,none,,"prudential financial,prudential financial, inc.,prudential"
HeidelbergCement,,none,,HeidelbergCement Group
Praxair,,none,,Praxair Inc.
Edison International,,none,,"edison international,edison"
Toyota Industries,,none,,"toyota industries,toyota-industries"
Fifth Third Bancorp,,none,,"fifth third bancorp,53,Fifth Third Bank"
United Continental Holdings,,none,,"united continental holdings,unitedcontinentalholdings,United Continental"
H&M,H&M,exact,,"h&m,hm"
Chesapeake Energy,,none,,"chesapeake energy,chkenergy"
Paccar,,none,,
Aon,,none,,
Hana Financial Group,,none,,"hana financial group,hanafn"
Etisalat,,none,,
Loews,,none,,
CIMB Group Holdings,,none,,"cimb group holdings,cimb"
Tokyo Electric Power,,none,,"tokyo electric power,tepco,Tokyo Electric Power (TEPCO)"
TJX Cos,,none,,TJX
Principal Financial Group,,none,,"principal financial group,the principal financial group,principal financial,principal"
Ageas,,none,,
Repsol YPF,,none,,Repsol
New China Life Insurance,,none,,"new china life insurance,newchinalife"
Aeon,,none,,
Rogers Communications,,none,,"rogers communications,rogers"
Swiss Life Holding,,none,,"swiss life holding,swisslife"
Novatek,,none,,
Corning,,none,,
Fujifilm Holdings,,none,,"fujifilm holdings,fujifilmholdings,FUJIFILM"
Bank Rakyat Indonesia,Associated British Foods plc,partial,0,"bank rakyat indonesia,bri"
Consolidated Edison,,none,,"consolidated edison,conedison"
Akbank,,none,,
Micron Technology,,none,,"micron technology,micron technology, inc.,numonyx,Micron"
Covidien,,none,,
ArcelorMittal,,none,,
Saudi Electricity,Taiwan Semiconductor Manufacturing,partial,0,"saudi electricity,se"
Alstom,,none,,
National Bank of Canada,,none,,"national bank of canada,nbc"
Formosa Petrochemical,,none,,"formosa petrochemical,fpcc"
Gree Electric Appliances,,none,,"gree electric appliances,gree"
Public Service Enterprise,,none,,"public service enterprise,pseg,Public Service Enterprise Group,Public Service Enterprise Group (PSEG)"
RWE Group,,none,,RWE
Mondelez International,Mondelez International,exact,,
L’Occitane,,none,,"l’occitane,loccitane,L'Occitane"
Alyeska Pipeline Service Company,,none,,Alyeska Pipeline
Autoridad del Canal de Panama,,none,,
Cementos Progreso,,none,,
Concurrent Technologies Corporation,,none,,
Elbit Systems of America,,none,,Elbit Systems
Empresa de Desarrollo Urbano,,none,,
Hypertherm Inc.,,none,,
Knights of Columbus,,none,,
TIAA-CREF,,none,,
Voya Financial,,none,,
ENMAX Corporation,,none,,
ING U.S.,,none,,
"Noblis, Inc.",,none,,Noblis
Ten Thousand Villages,,none,,
NYSE Euronext,,none,,
Office Depot,,none,,
SRA International,,none,,
Stonyfield Farm,,none,,
The Timberland Company,The Timberland Company,exact,,Timberland
J.M. Huber Corporation,,none,,
Zappos,,none,,
Flint Hills Resources,,none,,
Johns Hopkins,,none,,
Pitney Bowes,,none,,
Aldi Group,,none,,
Danfoss,,none,,
Hindustan Lever,Unilever,partial,2,Hindustan Unilever
Koch Industries,,none,,
NTT DOCOMO,,none,,
Hang Seng Bank,,none,,
Australia & New Zealand Banking Group,,none,,
Imperial Oil,,none,,
Wal-Mart de Mexico,,none,,Wal-Mart de Mexico (Walmex)
Malayan Banking,,none,,
Hermes International,,none,,Hermes
Astra International,,none,,
RN Holding,,none,,
Enterprise Products Partners,,none,,Enterprise Products
Southern Copper,,none,,
AMBEV,,none,,AmBev
Christian Dior,,none,,"christian dior,dior-finance"
Safran,,none,,"safran,safran-group"
Precision Castparts,,none,,"precision castparts,precast"
Fortescue Metals Group,,none,,"fortescue metals group,fmgl"
Kirin Holdings,,none,,"kirin holdings,kirinholdings,Kirin"
Baoshan Iron & Steel,,none,,"baoshan iron & steel,baosteel"
Fortum,,none,,
Cheung Kong Holdings,,none,,"cheung kong holdings,ckh,Cheung Kong"
Sysco,,none,,
Tatneft,,none,,
Korea Electric Power,,none,,"korea electric power,kepco,Korea Electric Power (KEPCO)"
Kyocera,,none,,
Marsh & McLennan,,none,,"marsh & mclennan,mmc"
China Resources Land,,none,,"china resources land,crland"
Raiffeisen Bank International,,none,,"raiffeisen bank international,rbinternational"
Shin-Etsu Chemical,,none,,"shin-etsu chemical,shinetsu,Shin-Etsu Group"
Kubota,,none,,
Siam Commercial Bank,,none,,"siam commercial bank,scb"
TELUS,,none,,
Tata Consultancy Services,Sourcewatch,partial,0,"tata consultancy services,tcs"
Vivendi,,none,,
Anglo American,,none,,"anglo american,angloamerican"
Evonik,,none,,
Kasikornbank,,none,,
Commerzbank,,none,,
Ferrovial,,none,,
Franklin Resources,,none,,"franklin resources,franklin templeton investments,franklintempleton,Franklin Templeton"
Daiwa House Industry,,none,,"daiwa house industry,daiwahouse"
Simon Property Group,,none,,"simon property group,simon,Simon Property"
Tenaris,,none,,
Regions Financial,,none,,"regions financial,regions"
Southwest Airlines,,none,,"southwest airlines,southwest,AirTran"
Western Digital,,none,,"western digital,westerndigital"
Porsche Automobil Holding,,none,,"porsche automobil holding,porsche-se"
Woodside Petroleum,,none,,"woodside petroleum,woodside"
Deutsche Lufthansa,,none,,"deutsche lufthansa,lufthansa"
Falabella,,none,,
Bankia,,none,,
Potash of Saskatchewan,,none,,"potash of saskatchewan,potash corp of saskatchewan,potashcorp"
Air Products & Chemicals,,none,,"air products & chemicals,airproducts,Air Products"
Sumitomo Realty,,none,,"sumitomo realty,sumitomo realty & development,sumitomo-rd"
Entergy,,none,,
Reynolds American,,none,,"reynolds american,reynoldsamerican"
China Resources Power,,none,,"china resources power,cr-power"
Samsung Fire & Marine,Samsung,partial,2,"samsung fire & marine,samsungfire"
Evergrande Real Estate,,none,,"evergrande real estate,evergrande"
Agrium,,none,,
