company,wikirate_company,status,accept_status,aliases
Varian Medical Systems,,none,,"varian medical systems,varian"
Banca Popolare di Sondrio,,none,,"banca popolare di sondrio,popso"
Honbridge Holdings,,none,,"honbridge holdings,8137"
Abu Dhabi Islamic Bank,,none,,"abu dhabi islamic bank,adib"
VeriSign,,none,,
Great Wall Technology,,none,,"great wall technology,greatwalltech"
Hellenic Petroleum,,none,,"hellenic petroleum,hellenic-petroleum"
Balfour Beatty,,none,,"balfour beatty,balfourbeatty"
Monster Beverage,,none,,"monster beverage,monsterbevcorp,Monster Beverage Co"
SpareBank 1 SR-Bank,,none,,"sparebank 1 sr-bank,sr-bank"
Taiwan Business Bank,,none,,"taiwan business bank,tbb"
Indian Overseas Bank,,none,,"indian overseas bank,iob"
Nine Entertainment Co. Holdings Pty,,none,,"nine entertainment co. holdings pty,nineentertainment"
Basler Kantonalbank,,none,,"basler kantonalbank,bkb"
Chinese Estates,,none,,"chinese estates,chineseestates"
Commercial International Bank,,none,,"commercial international bank,cibeg,National Commercial Bank"
East West Bancorp,,none,,"east west bancorp,eastwestbank"
Gannett,,none,,
Illumina,,none,,
Nelnet,,none,,
SVB Financial Group,,none,,"svb financial group,svb"
Church & Dwight,,none,,"church & dwight,arm & hammer,churchdwight"
Mercuries & Associates,,none,,"mercuries & associates,mercuries"
Guangzhou Automobile Group Co. Ltd.,,none,,"guangzhou automobile group co. ltd.,gagc"
Hysan Development,,none,,"hysan development,hysan"
Maxim Integrated Products,,none,,"maxim integrated products,maxim integrated products, inc.,maxim-ic"
Supervalu,,none,,
Airgas,,none,,
Herbalife,,none,,
Shanghai Material Trading,,none,,"shanghai material trading,shwmzx"
American Equity Investment,,none,,"american equity investment,american-equity"
Saudi Investment Bank,,none,,"saudi investment bank,saib"
DCC,,none,,DCC plc
Hanwa,,none,,
Ecobank Transnational Incorporated,,none,,"ecobank transnational incorporated,ecobank"
Kaisa Group Holdings,,none,,"kaisa group holdings,kaisagroup"
Intouch Holdings,,none,,"intouch holdings,intouchcompany"
Outokumpu,,none,,
Polaris Industries,,none,,"polaris industries,polarisindustries"
Aurubis,,none,,
China Aviation Oil,,none,,"china aviation oil,caosco"
Tasnee,,none,,
Ruentex Development,,none,,"ruentex development,ruentex"
Hokkaido Electric Power,,none,,"hokkaido electric power,hepco"
NASDAQ OMX Group,,none,,"nasdaq omx group,nasdaqomx"
Bank of Queensland,,none,,"bank of queensland,boq"
Interactive Brokers Group,,none,,"interactive brokers group,interactivebrokers"
Yunnan Baiyao Group,,none,,"yunnan baiyao group,yunnanbaiyao"
Cablevision Systems Corporation,,none,,"cablevision systems corporation,cablevision"
Cheniere Energy,,none,,"cheniere energy,cheniere"
Inchcape,,none,,
NetDragon Websoft,Taiwan Semiconductor Manufacturing,partial,0,"netdragon websoft,nd"
Credito Valtellinese,,none,,"credito valtellinese,creval"
Gemalto,,none,,
"Workday, Inc.",,none,,
Erie Indemnity,,none,,"erie indemnity,erieinsurance,Erie Insurance Group"
Inventec,,none,,
Verisk Analytics,,none,,"verisk analytics,verisk"
Saras,,none,,
Japan Exchange Group,,none,,"japan exchange group,ose"
Penske Automotive,,none,,"penske automotive,unitedauto"
Empresa de Energia de Bogota,,none,,"empresa de energia de bogota,eeb"
WEG,,none,,
Hyprop Investments,,none,,"hyprop investments,hyprop"
Antero Resources,,none,,"antero resources,anteroresources"
DGB Financial Group,,none,,"dgb financial group,dgbfg"
Guangdong Investment,,none,,"guangdong investment,gdi"
Vertex Pharmaceuticals,,none,,"vertex pharmaceuticals,vpharm"
Inner Mongolia Baotou Steel,,none,,"inner mongolia baotou steel,btsteel"
Pandora,,none,,
Banque Centrale Populaire,,none,,"banque centrale populaire,gbp"
Peabody Energy,,none,,"peabody energy,peabodyenergy"
President Chain Store,,none,,"president chain store,7-11"
Lawson,,none,,
Shimano,,none,,
Whiting Petroleum,,none,,"whiting petroleum,whiting"
Denbury Resources,,none,,"denbury resources,denbury"
Concho Resources,,none,,"concho resources,conchoresources"
King Digital Entertainment,Burger King Worldwide,partial,0,"king digital entertainment,king"
Gungho Online Entertainment,,none,,"gungho online entertainment,gungho"
People's United Financial,,none,,"people's united financial,peoples"
Yuexiu Property Co.,,none,,"yuexiu property co.,yuexiuproperty"
Microchip Technology,,none,,"microchip technology,microchip"
CareFusion,,none,,
Pang Da Automobile Trade,,none,,"pang da automobile trade,pdqmjt"
CC Media Holdings,,none,,"cc media holdings,ccmediaholdings"
Oriental Bank of Commerce,,none,,"oriental bank of commerce,obcindia"
Integrys Energy Group,,none,,"integrys energy group,integrysgroup"
ICAP,,none,,
Taiheiyo Cement,,none,,"taiheiyo cement,taiheiyo-cement"
Financial Street Holdings,,none,,"financial street holdings,jrjkg"
Babcock International Group,,none,,"babcock international group,babcock"
Fraport,,none,,
Yang Quan Coal Industry,,none,,"yang quan coal industry,ymjt"
Yuanta Financial Holding,,none,,"yuanta financial holding,yuanta"
Orkla,,none,,
Alliant Energy,,none,,"alliant energy,alliantenergy"
NSK,,none,,
Ackermans & van Haaren,,none,,"ackermans & van haaren,avh"
Bank Danamon Indonesia,,none,,"bank danamon indonesia,danamon"
InterContinental Hotels,,none,,"intercontinental hotels,intercontinental hotels group plc,ichotelsgroup"
Symetra Financial,,none,,"symetra financial,symetra"
Tosoh,,none,,
Aryzta,,none,,
Edwards Lifesciences,,none,,"edwards lifesciences,edwards"
New Media Investment Group,,none,,
Pall,,none,,
DSV,,none,,
EMS-Chemie Holding,,none,,"ems-chemie holding,ems-group"
Yamanashi Chuo Bank,,none,,"yamanashi chuo bank,yamanashibank"
Andritz,,none,,
Frontier Communications,,none,,"frontier communications,frontier"
Kesko,,none,,
Kimberly-Clark de Mexico,,none,,"kimberly-clark de mexico,kcm"
Tongling Nonferrous Metals,,none,,"tongling nonferrous metals,tdty"
Packaging Corp of America,,none,,"packaging corp of america,packagingcorp"
Daelim Industrial,,none,,"daelim industrial,daelim"
Brunswick,,none,,
Alliance Global Group,,none,,"alliance global group,allianceglobalinc"
Wanhua Chemical Group,,none,,"wanhua chemical group,ytpu"
Akamai Technologies,,none,,"akamai technologies,akamai"
Icade,,none,,
Sinomach Automobile,,none,,"sinomach automobile,21cu"
Sichuan Changhong Electric,,none,,"sichuan changhong electric,changhong"
Towers Watson & Co.,,none,,"towers watson & co.,watsonwyatt"
Total Access Communication,,none,,"total access communication,dtac"
Makita,,none,,
Jindal Steel & Power,,none,,"jindal steel & power,jindalsteelpower,Jindal"
Nippon Steel Trading,,none,,"nippon steel trading,ns-net,Nippon Steel"
China Fortune Land Development,,none,,"china fortune land development,cfldcn"
Vopak,,none,,
Stericycle,,none,,
Range Resources,,none,,"range resources,rangeresources"
Western Refining,,none,,"western refining,westernrefining"
Sydbank,,none,,
Caixa Economica Montepio Geral,,none,,"caixa economica montepio geral,montepiogeral"
Shandong Iron and Steel,,none,,"shandong iron and steel,jigang"
Jaccs,,none,,
Oceaneering International,,none,,"oceaneering international,oceaneering"
American Natl Ins,,none,,"american natl ins,anico"
TripAdvisor,,none,,
Windstream,,none,,
Clariant,,none,,
Admiral Group plc,,none,,"admiral group plc,admiralgroup"
URS,Taiwan Semiconductor Manufacturing,partial,0,Washington Group
FMC,,none,,
Prysmian,,none,,
Pakistan State Oil,,none,,"pakistan state oil,psopk"
Cameco,,none,,
Equifax,,none,,
Lowe's Cos,,none,,"lowe's cos,lowe's companies,lowe's,lowes,Lowe's"
Travelers Cos,,none,,Travelers
Wal-Mart Stores,wal-mart,exact,,"wal-mart stores,wal-mart,european gold,wal-mart stores, inc.,walmart"
100% Pure,,none,,"100% pure,100percentpure"
1121 Apothecary,,none,,"1121 apothecary,1121apothecary"
"2 Beauty Ex., Inc.",,none,,"2 beauty ex., inc.,2beautyex"
2nd Love Cosmetics,,none,,"2nd love cosmetics,my2ndlove"
3rd Rock Sunblock,,none,,"3rd rock sunblock,3rdrocksunblock"
415 Labs,,none,,"415 labs,415labs"
4mula,,none,,
A Perfume Organic,,none,,"a perfume organic,aperfumeorganic"
A Wild Soap Bar,,none,,"a wild soap bar,awildsoapbar"
Abhati,,none,,
Able & Aware,,none,,"able & aware,oloria"
Abra Therapeutics,,none,,"abra therapeutics,abratherapeutics"
Absolute Green,,none,,"absolute green,myabsolutegreen"
Kao USA,,none,,Kao Brands
Shiseido Cosmetics,,none,,"shiseido cosmetics,shiseido,Shiseido"
Arthur J. Gallagher & Co.,,none,,
Blue Shield of California,,none,,
CH2M HILL,,none,,
CareFirst BlueCross BlueShield,,none,,
Hitachi Data Systems,,none,,
Kao Corporation,,none,,
Kennametal Inc.,,none,,Kennametal
ManpowerGroup,,none,,
North Shore-LIJ Health System,,none,,
Northumbrian Water Group,,none,,
Parsons Corporation,,none,,Parsons
"Schnitzer Steel Industries, Inc.",,none,,
TSYS,,none,,
Teachers Mutual Bank,,none,,
The Nature Conservancy,,none,,
The Rezidor Hotel Group,,none,,
The Timken Company,,none,,
University Hospitals,,none,,
William E. Connor & Associates Ltd.,,none,,
AECOM,,none,,
All Good Organics,,none,,
CUNA Mutual Group,,none,,
Ethical Fruit Company Ltd,,none,,
Natura Cosm,Natura Cosm��ticos S.A.,partial,1,
"Saltchuk Resources, Inc.",,none,,
Sharp HealthCare,,none,,
The Aerospace Corporation,,none,,
Coloplast A/S,,none,,
OfficeMax,,none,,
Robert Half International,,none,,
Comme Il Faut,,none,,
Kimpton Hotels,,none,,Kimpton Hotels & Restaurants
NYK Nippon Yusen Kaisha,,none,,
Pantheon Enterprises,,none,,
Rabobank,,none,,
"Solae, LLC",,none,,
"Wegmans Food Markets, Inc.",,none,,
Indra Sistemas,,none,,
"Barrett-Jackson Auction Company, LLC",,none,,
Dow Corning Corporation,,none,,
J M Smith Corporation,,none,,
L'OR,L'Or��al,partial,0,
Statkraft,,none,,
Precious Woods Group,,none,,
Sun Microsystems Inc.,,none,,
Bright Horizons,,none,,
Modine Manufacturing Company,,none,,
Otto GmbH & Co.,,none,,
Singapore Telecommunications,,none,,
Power Financial,,none,,
JC Penney,,none,,"jc penney,j.c. penney corporation, inc.,jcpenney,J.C. Penney,Liz Claiborne"
Keppel Corp,,none,,"keppel corp,kepcorp"
Daishi Bank,,none,,"daishi bank,daishi-bank"
Product Body,,none,,"product body,absolutesoap"
Acquarella Polish,,none,,"acquarella polish,acquarellapolish"
Advanced Beauty Tools,,none,,"advanced beauty tools,advancedbeautytools"
Advanced Cosmeceuticals,,none,,"advanced cosmeceuticals,finulite"
Aeon Botanica,,none,,"aeon botanica,aeonbotanica"
Aesop,,none,,
Aesthetica Cosmetics,,none,,"aesthetica cosmetics,aesthetica"
The Esse Trust,,none,,"the esse trust,africaorganics"
Afrumos,,none,,
"After Inked, LLC",,none,,"after inked, llc,afterinked"
Afterglow Cosmetics,,none,,"afterglow cosmetics,afterglowcosmetics"
AG Hair Cosmetics,,none,,"ag hair cosmetics,aghaircosmetics"
Agape & Zoe Naturals,,none,,"agape & zoe naturals,agapeandzoe"
Agape by DK,,none,,"agape by dk,agapebydkmineral"
Ageless Fantasy,,none,,"ageless fantasy,agelessfantasy"
"Iyari Waneika, S.A. de C.V.",,none,,"iyari waneika, s.a. de c.v.,ahal"
AHAVA,,none,,"ahava,ahavaus"
Ahimsa Naturals,,none,,"ahimsa naturals,ahimsanaturals"
Ainterol Natural Products,,none,,"ainterol natural products,ainterol"
AKayStyle,,none,,
Hain Celestial,,none,,"hain celestial,albabotanica"
Alchimie Forever,,none,,"alchimie forever,alchimie-forever"
Alexami Cosmetics,,none,,"alexami cosmetics,alexami"
Alexandra's Naturals,,none,,"alexandra's naturals,alexandrasnaturals"
All Terrain,,none,,"all terrain,allterrainco"
"Chuckles, Inc.",,none,,"chuckles, inc.,all-nutrient"
Allens Naturally,,none,,"allens naturally,allensnaturally"
Ally's AromaRemedies,,none,,"ally's aromaremedies,allyar"
Almo Nature,,none,,"almo nature,almonature"
Almond Cosmetics,,none,,"almond cosmetics,almondcosmetics"
Aloe Up,,none,,"aloe up,aloeup"
Aloette Cosmetics,,none,,"aloette cosmetics,aloette"
Aloha Nani,,none,,"aloha nani,alohanani"
Aloxxi International,,none,,"aloxxi international,aloxxi"
ALPAYA Dermaceuticals,,none,,"alpaya dermaceuticals,alpaya"
Alpen Secrets,,none,,"alpen secrets,alpensecrets"
Alpine Soapworks,,none,,"alpine soapworks,etsy"
alva Naturkosmetik,,none,,"alva naturkosmetik,alva"
Alvin Connor,,none,,"alvin connor,alvinconnor"
AMAIA Cosmetics,,none,,"amaia cosmetics,amaia"
Amal Oils,,none,,"amal oils,amaloils"
Amalsroom.com,,none,,"amalsroom.com,amalsroom"
Amazon Premium Products,Amazon,partial,0,"amazon premium products,amazonpp"
American Safety Razor,,none,,"american safety razor,asrco"
Amika,,none,,"amika,loveamika"
Amina Cosmetics,,none,,"amina cosmetics,aminacosmetics"
Amniofluid GmbH,,none,,"amniofluid gmbh,amniosan"
Amyris,,none,,
Ancient Formulas,,none,,
Ancient Secrets,,none,,"ancient secrets,ancient-secrets"
Andalou Naturals,,none,,"andalou naturals,andalou"
Aneley Cosmetics,,none,,
Angel Minerals,,none,,"angel minerals,angel-minerals"
Anika Aroma Cosmetics,,none,,"anika aroma cosmetics,theorganicspa"
Animal Food Services,,none,,"animal food services,animalfood"
Animal Nation,,none,,"animal nation,animalnation"
Anise Cosmetics,,none,,"anise cosmetics,anisecosmetics"
Anna Lotan,,none,,"anna lotan,annalotan"
Anthony Brands,,none,,"anthony brands,anthony"
Antica Erboristeria,,none,,"antica erboristeria,herbatint"
Anya Natural,,none,,"anya natural,anyanaturalskincare"
Apeiron Naturkosmetik,,none,,"apeiron naturkosmetik,natur-apeiron"
Apheleia,,none,,
Apothecary Shoppe,,none,,"apothecary shoppe,apothecary-shoppe"
Apple Island Naturals,Apple,partial,0,"apple island naturals,appleisland"
Apriori Beauty,,none,,"apriori beauty,useloveshare"
Apsara Skin Care,,none,,"apsara skin care,apsaraskincare"
Aqua Dessa,,none,,"aqua dessa,aquadessa"
Aqua Natural,,none,,"aqua natural,aquanatural"
Arbonne International,,none,,"arbonne international,arbonne"
Archeus,,none,,
"^[[B""Arganat Inc.""",,none,,"arganat inc.,arganat"
Argand'Or,,none,,"argand'or,argandor"
Argital,,none,,
Beauty 21,,none,,"beauty 21,https://www"
Armadale,,none,,"armadale,armadalemfgco"
Aroma Bella,,none,,"aroma bella,aromabella"
Aroma Crystal Therapy,,none,,"aroma crystal therapy,aromacrystal"
Aroma Naturals,,none,,"aroma naturals,aromanaturals"
Aroma Roots,,none,,"aroma roots,aromaroots"
Aromacare Victoria,,none,,"aromacare victoria,aromacare"
Aromafloria,,none,,
Shankara,,none,,"shankara,aromaherbalhealing"
Aromaland,,none,,"aromaland,buyaromatherapy"
"Aromaleigh, Inc.",,none,,"aromaleigh, inc.,aromaleigh"
Aromi,,none,,"aromi,aromibeauty"
Artemis Pet Food,,none,,"artemis pet food,artemiscompany"
ArtOnIt Makeup,,none,,"artonit makeup,artonitmakeup"
Ashi Therapy,,none,,"ashi therapy,ashitherapy"
At Last Naturals,,none,,"at last naturals,atlastnaturals"
Au Naturale Glow,,none,,"au naturale glow,aunaturaleglow"
Augisa & Co.,,none,,"augisa & co.,augisa"
Augustus BioMed,,none,,"augustus biomed,augustusbiomed"
Aunt Bee's Skin Care,,none,,
Aura Cacia,,none,,"aura cacia,auracacia"
Austin Rose,,none,,"austin rose,austinrose"
AVA Haircare,,none,,"ava haircare,avahaircare"
Avalon Organics,,none,,"avalon organics,avalonorganics"
AveSeena,,none,,
Avigal Henna,,none,,
Aviva Labs,,none,,"aviva labs,avivalabs"
Avocado Dreamin LLC,,none,,"avocado dreamin llc,avocadodreamin"
Axiology,,none,,"axiology,axiologybeauty"
AYA Cosmetics,,none,,"aya cosmetics,ayacosmetics"
Ayana Organics,,none,,"ayana organics,ayanaorganics"
Azalia Spa Goods,,none,,"azalia spa goods,azaliaspagoods"
B-leaf Botanics,,none,,"b-leaf botanics,mybleaf"
B. Soapure,,none,,"b. soapure,bsoapure"
B4 Brands,,none,,"b4 brands,b4brands"
Babo Botanicals,,none,,"babo botanicals,babobotanicals"
Baby Bear Shop,,none,,"baby bear shop,babybearshop"
Baby Mantra,,none,,"baby mantra,babymantra"
I&W Research,,none,,"i&w research,i-and-w"
Bakel,,none,,
Balanced Guru,,none,,"balanced guru,balancedguru"
Balm Envy,,none,,"balm envy,balmenvy"
Bara Cosmetics,,none,,"bara cosmetics,baracosmetics"
Bare All,,none,,"bare all,organicsugaring"
Bare Blossom,,none,,"bare blossom,bareblossom"
Bare English & Co.,,none,,"bare english & co.,bareenglish"
Bare Organics,,none,,"bare organics,bareorganics"
Barefaced Beauty,,none,,"barefaced beauty,barefacedbeauty"
Barefruit,,none,,"barefruit,barefruitco"
Bareology Cosmetics,,none,,"bareology cosmetics,bareology"
Bath By Bettijo,,none,,"bath by bettijo,bathbybettijo"
Bath Habit,,none,,"bath habit,bathhabit"
Bath Island,,none,,"bath island,bathisland"
"Bath Petals, Inc.",,none,,"bath petals, inc.,bathpetals"
Industrias T. Taio,,none,,"industrias t. taio,ttaio"
Batty's Bath,,none,,"batty's bath,battysbath"
Baudelaire,,none,,"baudelaire,baudelairesoaps"
Bazil Essentials,,none,,"bazil essentials,bazilessentials"
BE Beverly Hills,,none,,"be beverly hills,bebeverlyhills"
Be Green Bath and Body,,none,,"be green bath and body,begreenbathandbody"
Be Natural Cosmetics,,none,,"be natural cosmetics,glamgirlnaturals"
BeautiControl,,none,,
Beautiful Earth,,none,,"beautiful earth,beautiful-earth"
Beautisol,,none,,
Beauty Naturally,,none,,"beauty naturally,beautynaturally"
Beauty Treats,,none,,"beauty treats,beauty-treats"
Beauty Without Cruelty Products for North American Customers,,none,,"beauty without cruelty products for north american customers,beautywithoutcruelty"
Beauty-Kosmetik-Merzhaeuser,,none,,
BeautySoClean,,none,,
Beecology,,none,,
Beefayre,,none,,
Begley's Best,,none,,"begley's best,begleysbest"
Bella Bardot,,none,,"bella bardot,bellabardot"
Bella Luccè,,none,,"bella luccè,bellalucce"
Bella Vi,,none,,"bella vi,bellavi"
Bellanonna Boutique,,none,,"bellanonna boutique,bellanonnaboutique"
Bellaroma,,none,,"bellaroma,bellaromaboutique"
belle & bianca,,none,,belleandbianca
Belle Scents,,none,,"belle scents,bellescents"
Belli Cosmetics,,none,,"belli cosmetics,bellicosmetics"
Bello Moi,,none,,"bello moi,bellomoi"
Benecos,,none,,
Best Bath Store,,none,,"best bath store,bestbathstore"
Bethel Botanicals,,none,,"bethel botanicals,bethelbotanicals"
Better Botanicals,,none,,"better botanicals,betterbotanicals"
Big Moon Mountain,,none,,"big moon mountain,bigmoonmountain"
bigRuby Tattoos,,none,,
Billy Jealousy,,none,,"billy jealousy,billyjealousy"
Bio Creative Labs,,none,,"bio creative labs,biocreativelabs"
Bio Pac,,none,,"bio pac,bio-pac"
Bio Takara,,none,,"bio takara,biotakara"
Bio-Kleen,,none,,"bio-kleen,biokleen"
Biokleen,,none,,"biokleen,biokleenhome"
biOrganics,,none,,
Biotone,,none,,
Black Corset Candles,,none,,
Black Dahlia,,none,,"black dahlia,blackdahlialacquer"
Black Radiance,,none,,"black radiance,blackradiancebeauty"
Black Robin,,none,,"black robin,blackrobinskincare"
Black Tai Salt Company,,none,,"black tai salt company,blacktaisaltco"
Blacker's,,none,,"blacker's,veganvalor"
Blessed Body,,none,,"blessed body,blessedbody"
blinc,,none,,blincinc
Blissby,,none,,
Blooming Lotus,,none,,"blooming lotus,bloominglotus"
Blue Beautifly,,none,,"blue beautifly,bluebeautifly"
Blue Moon Candles,,none,,
Ironic Cosmetics,,none,,"ironic cosmetics,blushmeaway"
Bob's Red Mill,,none,,"bob's red mill,bobsredmill"
BODIWERK,,none,,
Body & Face St Cyrus,,none,,"body & face st cyrus,bodyandface"
Body & Soul,,none,,"body & soul,bodysoulbeauty"
"Body Bakery, The",,none,,"body bakery, the,thebodybakery"
Body Bistro,,none,,"body bistro,bodybistro"
"Body Crystal, Inc.",,none,,"body crystal, inc.,bodycrystal"
Body Essence,,none,,"body essence,body-essence"
Body Scentsations,,none,,"body scentsations,bodyscentsations"
Body Sense,,none,,"body sense,bodysense"
Body Time,,none,,"body time,bodytime"
Bodyenrich,,none,,
BodyHonee,,none,,
Robanda International,,none,,"robanda international,bodyography"
Bodyshine Organics,Loblaw Companies Limited,partial,0,"bodyshine organics,com/"
Bold For Men,,none,,"bold for men,boldformen"
Bonicca,,none,,
Bonji,,none,,"bonji,bonniejill"
Booda Organics,,none,,"booda organics,boodaorganics"
Boston Baked Bonz,,none,,"boston baked bonz,bostonbakedbonz"
Botani,,none,,
Botanie Soap,,none,,"botanie soap,botaniesoap"
Boudica,,none,,
Boulder Baby Co,,none,,"boulder baby co,boulderbabyco"
Branding Boulevard,,none,,"branding boulevard,brandingblvd"
Bravo Raw Diet,,none,,"bravo raw diet,bravorawdiet"
Brazen Cosmetics,,none,,"brazen cosmetics,brazencosmetics"
Brew City Botanicals,,none,,"brew city botanicals,bcbotanicals"
DHS Marketing,,none,,"dhs marketing,brilliantsilverwhite"
Brittanie's Thyme,,none,,"brittanie's thyme,brittaniesthyme"
Bronzo Sensuale,,none,,"bronzo sensuale,bronzosensuale"
Brooklan Tree,,none,,"brooklan tree,brooklantree"
Brooklyn Funk Factory,,none,,"brooklyn funk factory,mogimousse"
Bubble & Bee Organic,,none,,"bubble & bee organic,bubbleandbee"
Bubs and Scrubs,,none,,"bubs and scrubs,bubsandscrubs"
Bug Off,,none,,
By K,,none,,"by k,by-k"
C-THRU Fragrances,,none,,"c-thru fragrances,c-thrufragrances"
C.O. Bigelow,,none,,"c.o. bigelow,bigelowchemists"
Cactus & Ivy,,none,,"cactus & ivy,cactusandivy"
Caeran,,none,,
"Caldrea Company, The",,none,,"caldrea company, the,caldrea"
California Baby,,none,,"california baby,californiababy"
California North,,none,,"california north,californianorth"
California Tan,,none,,"california tan,californiatan"
Cameleon BV,,none,,"cameleon bv,cameleonpaint"
CamoCare,,none,,
CaniSource,,none,,
CannaSmack,,none,,"cannasmack,cannasamack"
Carina Corporation,,none,,"carina corporation,carinaorganics"
Carlson Laboratories,,none,,Carlson
Carol's Daughter,,none,,"carol's daughter,carolsdaughter"
Cash & Co.,,none,,"cash & co.,shopcashandco"
Caswell-Massey,,none,,"caswell-massey,caswellmassey"
Ceela Naturals,,none,,"ceela naturals,ceelaskincare"
Cellar Door Soap,,none,,"cellar door soap,cellardoorsoapco"
CertainDri,,none,,"certaindri,dsehealth"
Cheeky Cosmetics,,none,,"cheeky cosmetics,cheekycosmetics"
Cheeky Maiden Soap,,none,,"cheeky maiden soap,cheekymaidensoap"
Cherry Culture,,none,,"cherry culture,cherryculture"
Pink Espresso,,none,,"pink espresso,chicbean"
Cholayil Pvt. Ltd,,none,,"cholayil pvt. ltd,cholayil"
CiCi Cosmetics,,none,,"cici cosmetics,cicicosmetics"
Cindy Jackson,,none,,
Cinema Secrets,,none,,"cinema secrets,cinemasecrets"
"Citra-Solv, LLC",,none,,"citra-solv, llc,citrasolv"
Beaumont Products,,none,,"beaumont products,citrus2"
clariSEA,,none,,
Classic Beauty,,none,,"classic beauty,classicbeauty"
No Rinse Laboratories,,none,,"no rinse laboratories,norinse"
CleanWell Company,,none,,"cleanwell company,cleanwelltoday"
Clear Conscience,,none,,"clear conscience,clearconscience"
Clientele,,none,,
Climb On Products,,none,,"climb on products,climbonproducts"
CLT International,,none,,"clt international,cltinternational"
CMD Naturkosmetik,,none,,"cmd naturkosmetik,cmd-natur"
Cocoa Pink,,none,,"cocoa pink,cocoapink"
Cocoon Apothecary,,none,,"cocoon apothecary,cocoonapothecary"
Colonial Dames,,none,,"colonial dames,colonial-dames"
Color Me Beautiful,,none,,"color me beautiful,colormebeautiful"
Color My Image,,none,,"color my image,colormyimage"
Colorevolution,,none,,
Colors of Nature,,none,,"colors of nature,colorsofnature"
Colure Hair Care,,none,,"colure hair care,colurehaircare"
COMPTOIR DES LYS,,none,,"comptoir des lys,comptoirdeslys"
Conair,,none,,Jheri Redding
Concrete Minerals,,none,,"concrete minerals,concreteminerals"
Coola Suncare,,none,,"coola suncare,coolasuncare"
Copaïba,,none,,"copaïba,copaiba"
CORAL Skin Care,,none,,"coral skin care,coralskincare"
Corpa Flora,,none,,"corpa flora,corpaflora"
CosMedix,,none,,
Cosmic Tree Essentials,,none,,"cosmic tree essentials,cosmictree"
Cosmopharma,,none,,"cosmopharma,cosmopharmas"
Cottonwood Herbals,,none,,"cottonwood herbals,cottonwoodherbals"
Country Comfort,,none,,
Country Goddess,,none,,"country goddess,countrygoddess"
Country Save,,none,,"country save,countrysave"
CountryPet Pet Food,,none,,"countrypet pet food,countrypet"
Coutiver,,none,,"coutiver,etsy"
Cover FX Skin Care,,none,,"cover fx skin care,coverfx"
Crane + Wilton,,none,,"crane + wilton,crane-wilton"
"Crazy Rumors, LLC",,none,,"crazy rumors, llc,crazyrumors"
Creo Care,,none,,"creo care,creocare"
Cricklewood Herbs,,none,,"cricklewood herbs,cricklewoodherbs"
Crimson Catz,,none,,"crimson catz,crimsoncatz"
Crystal Body Deodorant,,none,,"crystal body deodorant,thecrystal"
Cuccio Naturale,,none,,"cuccio naturale,cuccio"
Cycles of Life,,none,,"cycles of life,cycles-of-life"
CYRÈNE,,none,,"cyrène,cyrene"
D & M,Whole Foods Market Inc.,partial,0,"d & m,d-and-m"
DaLish Cosmetics,,none,,"dalish cosmetics,dalishcosmetics"
Dancing Dingo,,none,,"dancing dingo,dancingdingo"
Darcy's Botanicals,,none,,"darcy's botanicals,darcysbotanicals"
Dare to be Young,,none,,"dare to be young,daretobeyoung"
David Babaii,,none,,"david babaii,davidbabaii"
Unived,,none,,"unived,dearearth"
Deep Steep,,none,,"deep steep,deepsteep"
derma-e Natural Bodycare,,none,,"derma-e natural bodycare,dermae"
Dermalogica,,none,,Dermal Group
Dermalush Skincare,,none,,"dermalush skincare,dermalush"
Hollywood Skin Care,,none,,
Dermectin,,none,,
Desert Essence,,none,,"desert essence,desertessence"
Desert Moon Bath & Body,,none,,"desert moon bath & body,desertmoonbathnbody"
Destiny Boutique,,none,,"destiny boutique,destinyboutique"
DeveloPlus,,none,,
Devita Natural Skin Care,,none,,"devita natural skin care,devita"
Devoted Creations,,none,,"devoted creations,devotedcreations"
id beauty,,none,,dvfbeauty
"Diapering Doula, The",,none,,"diapering doula, the,trianglediapercompany"
Dimpleskins Naturals,,none,,"dimpleskins naturals,bumbumbalm"
Dinga Bear,,none,,"dinga bear,dingabear"
Divine Within,,none,,
Dixie Bits,,none,,"dixie bits,dixiebits"
Doc Johnson,,none,,"doc johnson,docjohnson"
DollyMoo,,none,,
"Dr. A.C. Daniels, Inc.",,none,,"dr. a.c. daniels, inc.,drdaniels"
Dr. Babor,,none,,"dr. babor,babor"
Dr. Danton,,none,,"dr. danton,drdanton"
Dr. Denese,,none,,"dr. denese,drdenese"
Dr. Dewy,,none,,"dr. dewy,drdewy"
Dr. Dobbs,,none,,"dr. dobbs,drdobbsskincare"
Dr. Goodpet,,none,,"dr. goodpet,goodpet"
Dr. Harvey’s,,none,,"dr. harvey’s,drharveys"
Dr. Hauschka Skin Care,,none,,"dr. hauschka skin care,drhauschka"
Floss & Go,,none,,"floss & go,drkens"
Dr. Loretta Skin Care,,none,,"dr. loretta skin care,drloretta"
Dread Head HQ,,none,,"dread head hq,dreadheadhq"
DreamCatchers,,none,,
Cot'n Wash,,none,,"cot'n wash,dropps"
Dropwise Essentials,,none,,"dropwise essentials,dropwise"
DRUIDE,,none,,
Duchess Cosmetics,,none,,"duchess cosmetics,duchesscosmetics"
duross & langel,,none,,durossandlangel
