Designer,Title,Company 1,Company 2,Year,Value,Source
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Fujian DongLong Knitting & Textile Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Quanzhou Zhenxing Textile co.ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,HANGZHOU BAOFENG IMP.&EXP. CO. LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,JINHUA MENGNA TEXTILE CO. LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,MASSUE FASHION LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Far Eastern Dyeing&Finishing (SuZhou) Ltd.,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Hao Sen,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,MACROWAY INTERNATIONAL CORP.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Rybrinks i Kungsbacka AB,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,KALESTESIA S.A.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Foshan Shanlong Textile Printing & Dyeing Factory Ltd.,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Wuhan Winsome Knitting Industrial Co. Ltd.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Changzhou Jiangcun Hengyue Dyeing C o. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Qingdao Hollyren Cosmetics Co. Ltd,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,HANGZHOU HUNDRED-TEX GARMENT CO. LTD.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,GO GO INTERNATIONAL PVT.LTD.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Kunshan Xierun Artificial Leather Co. Ltd.,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Real Hope International Limited,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,PERSANO GROUP A&#47;S,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,KIDS FIRST ASIA CO. LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Shanghai H&G International Trade Co.Ltd,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,JiangYin No.5 Y&#47;D Mill,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,TAK SANG COMPANY,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,ORIENT INT HOLD SHANGHAI KNITWEAR I&E CO.LTD.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,CCS Healthcare AB,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,WuXi DaYang Dyeing Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Qingdao Yinlongfei Handicraft Co. Ltd,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,DongGuan Jeaf fur and leather Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Linden International AB,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Kairos Textile DWC - LLC,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Taltex (Zhuhai) Limited,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,XinYu Xin Rui Metalware Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,David & Scotti (Shanghai) Co.Ltd.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,JINAGSU JUJIE MICROFIBERS GROUP,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Living Accessories Ceannis Limited,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,SHAHI EXPORT PVT.LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Wulian,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Well Tech Textile and Garment Manufacturing Enterprise Ltd.,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,MAHARANI OF INDIA,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Ximei printing and dyeing fty co.lt,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,ZHANGJIAGANG MEIRUYI CAPS CO.LTD.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Jiang Xi Hao Feng Industrial Co. Ltd.,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Qingdao HYC Apparel Co. Ltd,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Namyang International Co.LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Nobland International Inc,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Kunfeng,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,HOI FUNG DYEING & FINISHING WORKS,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Ningbo Zonghua Plastic Products Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,PD GARMENTS LIMITED,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Hongyu High-new Composite Textile(SZ)Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,DALIAN LONGSHENG FASHION CO.LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,PUTIAN XIANGGUAN FOOTWEAR CO.LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,SAINT MARCO (ZHUHAI) INDUSTRIAL CO. LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Shenzhen Global Hostar Industry Co.Ltd,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Qingdao Purgo Jewelry Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,TAIXING FU JI FASHION WEAR CO.LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Wujiang XiangSheng Dyeing and Finishing Co.ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Zhejiang Golden Eagle Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Zhejiang EMF Cosplay Culture Industry Co.Ltd,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
