snippet_company,source_url,company_from_source_url,remark
Link REIT,https://www.unglobalcompact.org/COPs/advanced/30561,The Link Management Limited,
Link REIT,https://www.unglobalcompact.org/COPs/advanced/95051,The Link Management Limited,
Link REIT,https://www.unglobalcompact.org/COPs/advanced/95061,The Link Management Limited,
Longfor Properties,https://www.unglobalcompact.org/COPs/active/80771,Longfor Properties Co. Ltd.,
Lotte Shopping,https://www.unglobalcompact.org/COPs/active/18477,"Lotte Shopping Co., Ltd",
Lotte Shopping,https://www.unglobalcompact.org/COPs/active/120711,"Lotte Shopping Co., Ltd",
Lotte Shopping,https://www.unglobalcompact.org/COPs/active/13420,"Lotte Shopping Co., Ltd",
Lotte Shopping,https://www.unglobalcompact.org/COPs/learner/69041,"Lotte Shopping Co., Ltd",
LukOil,https://www.unglobalcompact.org/COPs/active/98321,Lukoil,
LukOil,https://www.unglobalcompact.org/COPs/learner/12290,Lukoil,
LukOil,https://www.unglobalcompact.org/COPs/active/32271,Lukoil,
LukOil,https://www.unglobalcompact.org/COPs/learner/13423,Lukoil,
LukOil,https://www.unglobalcompact.org/COPs/learner/18599,Lukoil,
Mahindra & Mahindra,https://www.unglobalcompact.org/COPs/active/14479,Mahindra & Mahindra Ltd.,
Mahindra & Mahindra,https://www.unglobalcompact.org/COPs/active/109301,Mahindra & Mahindra Ltd.,
Mahindra & Mahindra,https://www.unglobalcompact.org/COPs/active/40871,Mahindra & Mahindra Ltd.,
Merck & Co,https://www.unglobalcompact.org/COPs/active/92711,"Merck & Co., Inc.",
Merck & Co,https://www.unglobalcompact.org/COPs/active/27501,"Merck & Co., Inc.",
Merck & Co,https://www.unglobalcompact.org/COPs/learner/13394,"Merck & Co., Inc.",
Merck & Co,https://www.unglobalcompact.org/COPs/learner/18239,"Merck & Co., Inc.",
Merck KGaA,https://www.unglobalcompact.org/COPs/active/141661,Merck KGaA,
Merck KGaA,https://www.unglobalcompact.org/COPs/active/11815,Merck KGaA,
Merck KGaA,https://www.unglobalcompact.org/COPs/active/74261,Merck KGaA,
Merck KGaA,https://www.unglobalcompact.org/COPs/active/22328,Merck KGaA,
Merck KGaA,https://www.unglobalcompact.org/COPs/active/20695,Merck KGaA,
Michelin Group,https://www.unglobalcompact.org/COPs/active/11171,Michelin,
Michelin Group,https://www.unglobalcompact.org/COPs/advanced/135841,Michelin,
Michelin Group,https://www.unglobalcompact.org/COPs/advanced/18131,Michelin,
Michelin Group,https://www.unglobalcompact.org/COPs/advanced/21719,Michelin,
Michelin Group,https://www.unglobalcompact.org/COPs/advanced/69671,Michelin,
Microchip Technology,https://www.unglobalcompact.org/COPs/active/69581,Microchip Technology Incorporated,
Mitsubishi Chemical,https://www.unglobalcompact.org/COPs/active/113961,Mitsubishi Chemical Holdings Corporation,
Mitsubishi Chemical,https://www.unglobalcompact.org/COPs/active/13521,Mitsubishi Chemical Holdings Corporation,
Mitsubishi Chemical,https://www.unglobalcompact.org/COPs/active/63991,Mitsubishi Chemical Holdings Corporation,
Mitsubishi Chemical,https://www.unglobalcompact.org/COPs/active/20581,Mitsubishi Chemical Holdings Corporation,
Mitsubishi Corp,https://www.unglobalcompact.org/COPs/active/18173,Mitsubishi Corporation,
Mitsubishi Corp,https://www.unglobalcompact.org/COPs/active/102281,Mitsubishi Corporation,
Mitsubishi Corp,https://www.unglobalcompact.org/COPs/active/102281,Mitsubishi Corporation,
Mitsubishi Corp,https://www.unglobalcompact.org/COPs/active/12934,Mitsubishi Corporation,
Mitsubishi Corp,https://www.unglobalcompact.org/COPs/active/13197,Mitsubishi Corporation,
Mitsubishi Corp,https://www.unglobalcompact.org/COPs/active/37821,Mitsubishi Corporation,
Mitsubishi Heavy Industries,https://www.unglobalcompact.org/COPs/active/10640,"Mitsubishi Heavy Industries, Ltd.",
Mitsubishi Heavy Industries,https://www.unglobalcompact.org/COPs/active/15030,"Mitsubishi Heavy Industries, Ltd.",
Mitsubishi Heavy Industries,https://www.unglobalcompact.org/COPs/active/10640,"Mitsubishi Heavy Industries, Ltd.",
Mitsubishi Heavy Industries,https://www.unglobalcompact.org/COPs/active/124061,"Mitsubishi Heavy Industries, Ltd.",
Mitsubishi Heavy Industries,https://www.unglobalcompact.org/COPs/active/56341,"Mitsubishi Heavy Industries, Ltd.",
Mitsubishi Heavy Industries,https://www.unglobalcompact.org/COPs/active/20630,"Mitsubishi Heavy Industries, Ltd.",
Mizuho Financial,https://www.unglobalcompact.org/COPs/active/18560,"Mizuho Financial Group, Inc.",
Mizuho Financial,https://www.unglobalcompact.org/COPs/active/103321,"Mizuho Financial Group, Inc.",
Mizuho Financial,https://www.unglobalcompact.org/COPs/active/103321,"Mizuho Financial Group, Inc.",
Mizuho Financial,https://www.unglobalcompact.org/COPs/active/13439,"Mizuho Financial Group, Inc.",
Mizuho Financial,https://www.unglobalcompact.org/COPs/active/35981,"Mizuho Financial Group, Inc.",
Molson Coors Brewing,https://www.unglobalcompact.org/COPs/active/16970,Molson Coors Brewing Company,
Molson Coors Brewing,https://www.unglobalcompact.org/COPs/active/151741,Molson Coors Brewing Company,
Molson Coors Brewing,https://www.unglobalcompact.org/COPs/active/12446,Molson Coors Brewing Company,
Molson Coors Brewing,https://www.unglobalcompact.org/COPs/active/82051,Molson Coors Brewing Company,
Molson Coors Brewing,https://www.unglobalcompact.org/COPs/active/22973,Molson Coors Brewing Company,
Mondi,https://www.unglobalcompact.org/COPs/advanced/12816,Mondi,
Mondi,https://www.unglobalcompact.org/COPs/advanced/17746,Mondi,
Mondi,https://www.unglobalcompact.org/COPs/advanced/27131,Mondi,
Mondi,https://www.unglobalcompact.org/COPs/advanced/92391,Mondi,
Mosaic,https://www.unglobalcompact.org/COPs/active/140081,Mosaic,
Mosaic,https://www.unglobalcompact.org/COPs/active/73911,Mosaic,
Mosaic,https://www.unglobalcompact.org/COPs/active/22366,Mosaic,
Motor Oil,https://www.unglobalcompact.org/COPs/active/17386,Motor Oil - Hellas - Corinth Refineries S.A.,
Motor Oil,https://www.unglobalcompact.org/COPs/active/12699,Motor Oil - Hellas - Corinth Refineries S.A.,
Motor Oil,https://www.unglobalcompact.org/COPs/active/84281,Motor Oil - Hellas - Corinth Refineries S.A.,
Motor Oil,https://www.unglobalcompact.org/COPs/active/23269,Motor Oil - Hellas - Corinth Refineries S.A.,
Munich Re,https://www.unglobalcompact.org/COPs/active/18677,Munich Re Group,
Munich Re,https://www.unglobalcompact.org/COPs/active/103861,Munich Re Group,
Munich Re,https://www.unglobalcompact.org/COPs/active/103861,Munich Re Group,
Munich Re,https://www.unglobalcompact.org/COPs/active/13525,Munich Re Group,
Munich Re,https://www.unglobalcompact.org/COPs/active/36691,Munich Re Group,
NASDAQ OMX Group,https://www.unglobalcompact.org/COPs/active/46421,"The NASDAQ OMX Group, Inc.",
NASDAQ OMX Group,https://www.unglobalcompact.org/COPs/learner/139691,"The NASDAQ OMX Group, Inc.",
National Australia Bank,https://www.unglobalcompact.org/COPs/active/15810,National Australia Bank,
National Australia Bank,https://www.unglobalcompact.org/COPs/active/21587,National Australia Bank,
National Australia Bank,https://www.unglobalcompact.org/COPs/advanced/136131,National Australia Bank,
National Australia Bank,https://www.unglobalcompact.org/COPs/advanced/66751,National Australia Bank,
NCC Group,https://www.unglobalcompact.org/COPs/active/19539,NCC Group,
NCC Group,https://www.unglobalcompact.org/COPs/active/141871,NCC Group,
NCC Group,https://www.unglobalcompact.org/COPs/active/71071,NCC Group,
NCC Group,https://www.unglobalcompact.org/COPs/active/21895,NCC Group,
NCC Group,https://www.unglobalcompact.org/COPs/learner/71041,NCC Group,
Newmont Mining,https://www.unglobalcompact.org/COPs/active/11481,Newmont Mining Corp,
Newmont Mining,https://www.unglobalcompact.org/COPs/advanced/139421,Newmont Mining Corp,
Newmont Mining,https://www.unglobalcompact.org/COPs/advanced/16146,Newmont Mining Corp,
Newmont Mining,https://www.unglobalcompact.org/COPs/advanced/22042,Newmont Mining Corp,
Newmont Mining,https://www.unglobalcompact.org/COPs/advanced/70711,Newmont Mining Corp,
"Nike, Inc.",https://www.unglobalcompact.org/COPs/active/16432,"Nike, Inc.",
"Nike, Inc.",https://www.unglobalcompact.org/COPs/learner/10794,"Nike, Inc.",
"Nike, Inc.",https://www.unglobalcompact.org/COPs/active/75941,"Nike, Inc.",
"Nike, Inc.",https://www.unglobalcompact.org/COPs/learner/22356,"Nike, Inc.",
Nippon Paper Industries,https://www.unglobalcompact.org/COPs/active/14632,"Nippon Paper Industries Co., Ltd.",
Nippon Paper Industries,https://www.unglobalcompact.org/COPs/active/118471,"Nippon Paper Industries Co., Ltd.",
Nippon Paper Industries,https://www.unglobalcompact.org/COPs/active/50951,"Nippon Paper Industries Co., Ltd.",
Nippon Paper Industries,https://www.unglobalcompact.org/COPs/active/20178,"Nippon Paper Industries Co., Ltd.",
Nippon Yusen,https://www.unglobalcompact.org/COPs/advanced/118761,Nippon Yusen Kabushiki Kaisha (NYK Line),
Nippon Yusen,https://www.unglobalcompact.org/COPs/advanced/14186,Nippon Yusen Kabushiki Kaisha (NYK Line),
Nippon Yusen,https://www.unglobalcompact.org/COPs/advanced/18435,Nippon Yusen Kabushiki Kaisha (NYK Line),
Nippon Yusen,https://www.unglobalcompact.org/COPs/advanced/51151,Nippon Yusen Kabushiki Kaisha (NYK Line),
NMDC,https://www.unglobalcompact.org/COPs/active/18269,NMDC Limited,
NMDC,https://www.unglobalcompact.org/COPs/active/13935,NMDC Limited,
NMDC,https://www.unglobalcompact.org/COPs/active/86381,NMDC Limited,
NMDC,https://www.unglobalcompact.org/COPs/active/28311,NMDC Limited,
Noble Group,https://www.unglobalcompact.org/COPs/active/17521,Noble Group Limited,
Noble Group,https://www.unglobalcompact.org/COPs/active/12661,Noble Group Limited,
Noble Group,https://www.unglobalcompact.org/COPs/active/89231,Noble Group Limited,
