"Tokio Marine Holdings","tokio marine holdings|tokio marine holdings, inc.|tokiomarinehd|Tokio Marine & Nichido "
"Legal & General Group","legal & general group|legalandgeneral|Legal & General"
"Schneider Electric","schneider electric|schneider electric se|schneider electric sa|schneiderelectric"
"DNB","DNB ASA"
"Lockheed Martin","lockheed martin|lockheed martin corporation|lockheedmartin"
"Surgutneftegas",""
"Nippon Steel & Sumitomo Metal","nippon steel & sumitomo metal|nsc"
"China Everbright Bank","china everbright bank|cebbank"
"Carrefour",""
"Bank of New York Mellon","bank of new york mellon|bny mellon|bnymellon|Bank of New York |Mellon Financial "
"EMC","EMC Corporation|RSA"
"Costco Wholesale","costco wholesale|costco wholesale corporation|costco|Costco"
"China State Construction","china state construction|cscec"
"Freeport-McMoRan Copper","freeport-mcmoran copper|freeport-mcmoran copper & gold|freeport mcmoran inc.|fcx|Freeport-McMoRan|Phelps Dodge "
"Telstra",""
"LyondellBasell Industries","lyondellbasell industries|lyondellbasell|Lyondell |LyondellBasell "
"China Pacific Insurance","china pacific insurance|china pacific insurance group|cpic"
"Abbott Laboratories","abbott laboratories|abbott"
"Gas Natural Fenosa","gas natural fenosa|gasnaturalsdg|Unión Fenosa (now Gas Natural)"
"Aetna",""
"Aegon",""
"Posco",""
"East Japan Railway","east japan railway|east japan railway company|jreast"
"Brookfield Asset Management","brookfield asset management|brookfield"
"BlackRock",""
"Archer Daniels Midland","archer daniels midland|admworld"
"McKesson",""
"Heineken Holding","heineken holding|heineken|heinekeninternational|Heineken"
"People's Insurance Company","people's insurance company|picc"
"Shinhan Financial Group","shinhan financial group|shinhangroup"
"Natixis",""
"Time Warner Cable","time warner cable|time warner cable inc.|timewarnercable"
"General Dynamics","general dynamics|generaldynamics"
"AbbVie","AbbVie Inc."
"EXOR",""
"Bristol-Myers Squibb","bristol-myers squibb|bristol-myers squibb co.|bms"
"SEB","seb|sebank"
"FedEx","FedEx Kinko's "
"Halliburton",""
"Danaher","Danaher Corp."
"Marathon Petroleum","marathon petroleum|marathonpetroleum|Marathon Petroleum Corp."
"Sun Life Financial","sun life financial|sunlife"
"Linde",""
"NextEra Energy","nextera energy|nextera energy, inc.|fpl group|nexteraenergy"
"Canadian Natural Resources","canadian natural resources|cnrl"
"Transneft",""
"Rolls-Royce Holdings","rolls-royce holdings|rolls-royce|Rolls-Royce plc"
"Imperial Tobacco Group","imperial tobacco group|imperial-tobacco|Imperial Tobacco"
"Bridgestone",""
"Cigna",""
"Standard Bank Group","standard bank group|sbic|Standard Bank"
"Svenska Handelsbanken","svenska handelsbanken|handelsbanken"
"BCE","BCE - Bell Canada Enterprises"
"Centrica","Centrica plc"
"National Oilwell Varco","national oilwell varco|nov|NOV Downhole de Colombia|National Oilwell Varco de Colombia"
"Teva Pharmaceutical Inds","teva pharmaceutical inds|teva pharmaceutical industries|tevapharm|Teva Pharmaceutical|Teva Pharmaceutical Industries Ltd"
"Swedbank",""
"Oversea-Chinese Banking","oversea-chinese banking|ocbc|OCBC Bank"
"Directv",""
"Dai-ichi Life Insurance","dai-ichi life insurance|dai-ichi-life|The Dai-ichi Life Insurance Company, Limited"
"Marubeni",""
"Fresenius",""
"China Communications Construction","china communications construction|ccccltd"
"Central Japan Railway","central japan railway|jr-central"
"Kroger",""
"Johnson Controls","johnson controls|johnson controls, inc.|johnsoncontrols|Johnson Controls Inc."
"China Railway Construction","china railway construction|crcc|China Railway Construction Corporation Limited"
"Emerson Electric","emerson electric|emersonelectric"
"Wilmar International","wilmar international|wilmar-international|Wilmar|Wilmar International Limited"
"Dominion Resources","dominion resources|dom|Dominion Resources Inc."
"China Railway Group","china railway group|crec"
"Sasol","Sasol Ltd."
"CaixaBank",""
"Reckitt Benckiser Group","reckitt benckiser group|rb"
"Telenor","Telenor ASA"
"Power Corp of Canada","power corp of canada|powercorp|Power Corporation of Canada"
"Raytheon",""
"SSE","Scottish and Southern Energy"
"Mitsubishi Heavy Industries","mitsubishi heavy industries|mhi|Mitsubishi Heavy Industries, Ltd."
"Chubb","Chubb Group"
"Mitsubishi Electric","mitsubishi electric|mitsubishielectric"
"American Electric","american electric|american electric power|aep"
"Northrop Grumman","northrop grumman|northropgrumman"
"Kraft Foods Group","kraft foods group|kraft foods|kraft foods, inc.|kraftfoodsgroup"
"Takeda Pharmaceutical","takeda pharmaceutical|takeda pharmaceutical company ltd.|takeda pharmaceutical co. ltd.|takeda|Takeda Pharmaceutical Company Limited"
"Discover Financial Services","discover financial services|discoverfinancial"
"Sumitomo Mitsui Trust","sumitomo mitsui trust|sumitomo mitsui trust holdings, inc.|smth"
"Samsung Life Insurance","samsung life insurance|samsunglife"
"Las Vegas Sands","las vegas sands|lasvegassands"
"Baxter International","Baxter|Baxter International, Inc."
"Anadarko Petroleum","anadarko petroleum|anadarko"
"Michelin Group","Michelin"
"Sun Hung Kai Properties","sun hung kai properties|shkp"
"Ameriprise Financial","ameriprise financial|ameriprise"
"Kimberly-Clark","Kimberly-Clark Corporation|Kimberly - Clark Corporation"
"United Overseas Bank","united overseas bank|uobgroup"
"KB Financial Group","kb financial group|kbfng"
"Mapfre",""
"Viacom",""
"Lafarge",""
"Thermo Fisher Scientific","thermo fisher scientific|thermofisher"
"Sistema","Sistema JSFC"
"Canadian National Railway","canadian national railway|cn"
"Orix",""
"Talanx",""
"TransCanada",""
"Lloyds Banking Group","lloyds banking group|lloydsbankinggroup"
"CSX","CSX Transportation"
"Norfolk Southern","norfolk southern|nscorp"
"Cathay Financial","cathay financial|cathayholdings"
"Huaneng Power International","huaneng power international|hpi"
"Glencore International","glencore international|glencore xstrata|glencore|Xstrata "
"Qatar National Bank","qatar national bank|qatarbank"
"Sampo",""
"Magna International","magna international|magnaint"
"Komatsu","Komatsu Ltd."
"Inpex","Inpex Corporation"
"Illinois Tool Works","illinois tool works|itwinc"
"Humana",""
"Fuji Heavy Industries","fuji heavy industries|fhi"
"Colgate-Palmolive","colgate-palmolive|colgate-palmolive company|colgatepalmolive"
"NTPC","NTPC Ltd"
"Royal Bank of Scotland","royal bank of scotland|royal bank of scotland group|rbs"
"Tencent Holdings","tencent holdings|tencent"
"Prudential Financial","prudential financial|prudential financial, inc.|prudential"
"HeidelbergCement","HeidelbergCement Group"
"Praxair","Praxair Inc."
"Edison International","edison international|edison"
"Toyota Industries","toyota industries|toyota-industries"
