metric,company_name,year,value,source
"2020WoB+Women on Board","Nielsen Holdings","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Sherwin-Williams","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Royal Caribbean Cruises","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Constellation Brands","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","TD Ameritrade Holding","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Marriott International","2015","27","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Agilent Technologies","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Everest Re Group","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","American Tower","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","China Steel","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","CF Industries Holdings","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Boston Properties","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Huntington Bancshares","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Reinsurance Group of America","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Fidelity National Information","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Public Storage","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Coca-Cola Enterprises","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Rockwell Automation","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Continental Resources","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","IntercontinentalExchange","2015","8","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","CenterPoint Energy","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","O'Reilly Automotive","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Ambac Financial Group","2015","29","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Arrow Electronics","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Boston Scientific","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Chicago Bridge & Iron","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Quest Diagnostics","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","General Growth Properties","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Charter Communications","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","New York Community","2015","8","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","First Republic Bank","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Wisconsin Energy","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Molson Coors Brewing","2015","7","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Alliance Data Systems","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Arch Capital Group","2015","8","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","FMC Technologies","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Fidelity National Financial","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","American Financial Group","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Jacobs Engineering","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Dr Pepper Snapple Group","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Cincinnati Financial","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Crown Castle International","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Equity Residential","2015","18","http://www.2020wob.com/company-directory"
