metric,company_name,year,value,source
"PERI at University of Massachusetts Amherst+Toxic Incineration Transfers","Berkshire Hathaway","2013","0.16","http://www.peri.umass.edu/toxicair_current/"
"PERI at University of Massachusetts Amherst+Toxic 100 Air Polluters Rank","Berkshire Hathaway","2013","38","http://www.peri.umass.edu/toxicair_current/"
"PERI at University of Massachusetts Amherst+Toxic Score","Berkshire Hathaway","2013","603,656","http://www.peri.umass.edu/toxicair_current/"
"PERI at University of Massachusetts Amherst+Toxic Air Releases","Berkshire Hathaway","2013","4.09","http://www.peri.umass.edu/toxicair_current/"
"Sebastian Jekutsch+CSR Report Available","Sinopec-China Petroleum","2010","Yes","https://www.unglobalcompact.org/system/attachments/9862/original/Sinopec_2010_Sustainable_Development_Report.pdf?1302508855"
"UN Global Compact+CSR Reporting Level","Sinopec-China Petroleum","2010","Active","https://www.unglobalcompact.org/COPs/active/11295"
"Sebastian Jekutsch+CSR Report Available","Sinopec-China Petroleum","2014","Yes","https://www.unglobalcompact.org/system/attachments/cop_2015/152171/original/201503221e.pdf?1428683454"
"UN Global Compact+CSR Reporting Level","Sinopec-China Petroleum","2014","Advanced","https://www.unglobalcompact.org/COPs/advanced/139771"
"Sebastian Jekutsch+CSR Report Available","Sinopec-China Petroleum","2011","Yes","https://www.unglobalcompact.org/system/attachments/14888/original/Sinopec_2011_Sustainable_Development_Report.pdf?1334230925"
"UN Global Compact+CSR Reporting Level","Sinopec-China Petroleum","2011","Advanced","https://www.unglobalcompact.org/COPs/advanced/15913"
"Sebastian Jekutsch+CSR Report Available","Sinopec-China Petroleum","2012","Yes","[""https://www.unglobalcompact.org/system/attachments/21345/original/_.pdf?1365756733"", ""https://www.unglobalcompact.org/system/attachments/21346/original/2012_.pdf?1365756733""]"
"UN Global Compact+CSR Reporting Level","Sinopec-China Petroleum","2012","Advanced","https://www.unglobalcompact.org/COPs/advanced/21752"
"Sebastian Jekutsch+CSR Report Available","Sinopec-China Petroleum","2013","Yes","https://www.unglobalcompact.org/system/attachments/74191/original/2013_Communication_on_Progress_forSustainable_Development_of_Sinopec_Corp..pdf?1397118738"
"UN Global Compact+CSR Reporting Level","Sinopec-China Petroleum","2013","Advanced","https://www.unglobalcompact.org/COPs/advanced/69151"
"Sebastian Jekutsch+CSR Report Available","Eni","2014","Yes","https://www.unglobalcompact.org/system/attachments/cop_2014/114571/original/eni_for_2013.pdf?1413381126"
"UN Global Compact+CSR Reporting Level","Eni","2014","Advanced","https://www.unglobalcompact.org/COPs/advanced/105691"
"Sebastian Jekutsch+CSR Report Available","Eni","2009","Yes","[""https://www.unglobalcompact.org/system/attachments/11539/original/eni-Sustainability-report-09-eng.pdf?1312473381"", ""https://www.unglobalcompact.org/system/attachments/11540/original/eni-Sustainability_indicators-2009-eng.pdf?1312473382""]"
"UN Global Compact+CSR Reporting Level","Eni","2009","Advanced","https://www.unglobalcompact.org/COPs/advanced/12808"
"Sebastian Jekutsch+CSR Report Available","Eni","2010","Yes","https://www.unglobalcompact.org/system/attachments/13527/original/Eni_COP_2010.pdf?1324487315"
"UN Global Compact+CSR Reporting Level","Eni","2010","Advanced","https://www.unglobalcompact.org/COPs/advanced/14644"
"Sebastian Jekutsch+CSR Report Available","Eni","2011","Yes","https://www.unglobalcompact.org/system/attachments/18242/original/eni_for_2011.pdf?1351171863"
"UN Global Compact+CSR Reporting Level","Eni","2011","Advanced","https://www.unglobalcompact.org/COPs/advanced/18928"
"Sebastian Jekutsch+CSR Report Available","Eni","2013","Yes","https://www.unglobalcompact.org/system/attachments/42331/original/Eni_For_2012_Eng.pdf?1382717192"
"UN Global Compact+CSR Reporting Level","Eni","2013","Advanced","https://www.unglobalcompact.org/COPs/advanced/40321"
"Sebastian Jekutsch+CSR Report Available","Commonwealth Bank","2011","Yes","https://www.unglobalcompact.org/system/attachments/13234/original/CBA-Sustainability-report-2011.pdf?1323083291"
"UN Global Compact+CSR Reporting Level","Commonwealth Bank","2011","Active","https://www.unglobalcompact.org/COPs/active/14387"
"Sebastian Jekutsch+CSR Report Available","Commonwealth Bank","2013","Yes","https://www.unglobalcompact.org/system/attachments/42521/original/CAN%20ASXAnnouncement%20Sustainability%20Report%202013.pdf?1382937513"
"UN Global Compact+CSR Reporting Level","Commonwealth Bank","2013","Active","https://www.unglobalcompact.org/COPs/active/40501"
"Sebastian Jekutsch+CSR Report Available","Commonwealth Bank","2012","Yes","https://www.unglobalcompact.org/system/attachments/19276/original/Sustainability_Report_2012_final.pdf?1354675902"
"UN Global Compact+CSR Reporting Level","Commonwealth Bank","2012","Active","https://www.unglobalcompact.org/COPs/active/19869"
