Old link,New Link
https://wikirate.org/Global_Reporting_Initiative+Persistent_Organic_Pollutants_POP_G4_EN21_a,https://wikirate.org/Global_Reporting_Initiative+Persistent_organic_pollutants_POP_GRI_305_7_a_formerly_G4_EN21_a
https://wikirate.org/Global_Reporting_Initiative+Volatile_Organic_Compounds_VOC_emissions_G4_EN21_a,https://wikirate.org/Global_Reporting_Initiative+Volatile_Organic_Compounds_VOC_emissions_GRI_305_7_a_formerly_G4_EN21_a
https://wikirate.org/Global_Reporting_Initiative+Hazardous_Waste_Recycled_G4_EN23_a,https://wikirate.org/Global_Reporting_Initiative+Hazardous_Waste_Recycled_GRI_306_2_a_formerly_G4_EN23_a
https://wikirate.org/Global_Reporting_Initiative+Total_Waste_Generated_G4_EN23_a,https://wikirate.org/Global_Reporting_Initiative+Total_Waste_Generated_GRI_306_2_formerly_G4_EN23_a
https://wikirate.org/Global_Reporting_Initiative+Volume_of_Significant_Spills_G4_EN24_b,https://wikirate.org/Global_Reporting_Initiative+Volume_of_Significant_Spills_GRI_306_3_a_formerly_G4_EN24_b
https://wikirate.org/Global_Reporting_Initiative+Significant_Spills_G4_EN24_a,https://wikirate.org/Global_Reporting_Initiative+Significant_Spills_GRI_306_3_a_formerly_G4_EN24_a
https://wikirate.org/Global_Reporting_Initiative+Hazardous_Waste_Shipped_Internationally_G4_EN25_b,https://wikirate.org/Global_Reporting_Initiative+Hazardous_Waste_Shipped_Internationally_GRI_306_4_b_formerly_G4_EN25_b
https://wikirate.org/Global_Reporting_Initiative+Hazardous_Waste_Handled_G4_EN25_a,https://wikirate.org/Global_Reporting_Initiative+Hazardous_Waste_Handled_GRI_306_4_a_formerly_G4_EN25_a
https://wikirate.org/Global_Reporting_Initiative+Environmental_fines_G4_EN29_a,https://wikirate.org/Global_Reporting_Initiative+Non_compliance_with_environmental_laws_and_regulations_by_fines_GRI_307_1_G4_EN29_a
https://wikirate.org/Global_Reporting_Initiative+Environmental_Screening_of_New_Suppliers_G4_EN32,https://wikirate.org/Global_Reporting_Initiative+New_suppliers_screened_using_environmental_criteria_by_percentage_GRI_308_1_G4_EN32
https://wikirate.org/Global_Reporting_Initiative+Employee_turnover_G4_LA1_b,https://wikirate.org/Global_Reporting_Initiative+Employee_turnover_GRI_401_1_G4_LA1_b
https://wikirate.org/Global_Reporting_Initiative+New_employee_hires_G4_LA1_a,https://wikirate.org/Global_Reporting_Initiative+New_employee_hires_GRI_401_1_G4_LA1_a
https://wikirate.org/Global_Reporting_Initiative+Rate_of_employee_turnover_G4_LA1_b,https://wikirate.org/Global_Reporting_Initiative+Rate_of_employee_turn_over_GRI_401_1_G4_LA1_b
https://wikirate.org/Global_Reporting_Initiative+Employees_Entitled_to_Parental_Leave_G4_LA3_a,https://wikirate.org/Global_Reporting_Initiative+Employees_Entitled_to_Parental_Leave_GRI_401_3_a_formerly_G4_LA3_a
https://wikirate.org/Global_Reporting_Initiative+Employees_Returned_after_Parental_Leave_G4_LA3_c,https://wikirate.org/Global_Reporting_Initiative+Employees_Returned_after_Parental_Leave_GRI_401_3_c_formerly_G4_LA3_c
https://wikirate.org/Global_Reporting_Initiative+Employees_that_Took_Parental_Leave_G4_LA3_b,https://wikirate.org/Global_Reporting_Initiative+Employees_that_Took_Parental_Leave_GRI_401_3_b_formerly_G4_LA3_b
https://wikirate.org/Global_Reporting_Initiative+Worker_fatalities_G4_LA6_a,https://wikirate.org/Global_Reporting_Initiative+Worker_fatalities_GRI_403_9_a_formerly_G4_LA6_a
https://wikirate.org/Global_Reporting_Initiative+Injury_rates_G4_LA6_a,https://wikirate.org/Global_Reporting_Initiative+Injury_rate_GRI_403_9_a_formerly_G4_LA6_a
https://wikirate.org/Global_Reporting_Initiative+Average_hours_of_training_G4_LA9_a,https://wikirate.org/Global_Reporting_Initiative+Average_hours_of_training_GRI_404_1_formerly_G4_LA9
https://wikirate.org/Global_Reporting_Initiative+Average_hours_of_training_female_G4_LA9_a,https://wikirate.org/Global_Reporting_Initiative+Average_hours_of_training_female_GRI_404_1_formerly_G4_LA9
https://wikirate.org/Global_Reporting_Initiative+Average_hours_of_training_male_G4_LA9_a,https://wikirate.org/Global_Reporting_Initiative+Average_hours_of_training_male_GRI_404_1_formerly_G4_LA9
https://wikirate.org/Global_Reporting_Initiative+Incidents_of_discrimination_G4_HR3_a,https://wikirate.org/Global_Reporting_Initiative+Incidents_of_discrimination_GRI_406_1_G4_HR3_a
https://wikirate.org/Global_Reporting_Initiative+Contracts_with_human_rights_clauses_or_screening_G4_HR1_a,https://wikirate.org/Global_Reporting_Initiative+Investment_contracts_with_human_rights_clauses_screening_total_number_GRI_412_3_a_formerly_G4_HR1_a
https://wikirate.org/Global_Reporting_Initiative+Contracts_with_human_rights_clauses_G4_HR1_a,https://wikirate.org/Global_Reporting_Initiative+Investment_contracts_with_human_rights_clauses_GRI_412_3_a_formerly_G4_HR1_a
https://wikirate.org/Global_Reporting_Initiative+Suppliers_with_actual_negative_impacts_on_society_G4_SO10_b1,https://wikirate.org/Global_Reporting_Initiative+Suppliers_with_actual_negative_social_impacts_GRI_414_2_b1_formerly_G4_SO10_b1
https://wikirate.org/Global_Reporting_Initiative+Suppliers_with_potential_negative_impacts_on_society_G4_SO10_b2,https://wikirate.org/Global_Reporting_Initiative+Suppliers_with_potential_negative_social_impacts_GRI_414_2_b2_formerly_G4_SO10_b2
https://wikirate.org/Global_Reporting_Initiative+Suppliers_assessed_for_societal_impact_G4_SO10_a,https://wikirate.org/Global_Reporting_Initiative+Suppliers_assessed_for_social_impact_GRI_414_2_a_formerly_G4_SO10_a
https://wikirate.org/Global_Reporting_Initiative+Societal_Impacts_screening_of_new_suppliers_G4_SO9_a,https://wikirate.org/Global_Reporting_Initiative+Societal_Impacts_screening_of_new_suppliers_GRI_414_1_formerly_G4_SO9_a
https://wikirate.org/Global_Reporting_Initiative+Health_and_Safety_incidents_of_non_compliance_fined%20(G4_PR2_a1),https://wikirate.org/Global_Reporting_Initiative+Health_and_Safety_incidents_of_non_compliance_fined_GRI_416_2_a1_formerly_G4_PR2_a1
https://wikirate.org/Global_Reporting_Initiative+Health_and_Safety_incidents_of_non-compliance_warning_G4-PR2-a2,https://wikirate.org/Global_Reporting_Initiative+Health_and_Safety_incidents_of_non_compliance_warning_GRI_416_2_a2_formerly_G4_PR2_a2
https://wikirate.org/Global_Reporting_Initiative+Health_and_Safety_incidents_of_non_compliance_voluntary_codes_G4_PR2_a3,https://wikirate.org/Global_Reporting_Initiative+Health_and_Safety_incidents_of_non_compliance_voluntary_codes_GRI_416_2_a3_formerly_G4_PR2_a3
https://wikirate.org/Global_Reporting_Initiative+Product_and_service_and_labeling_incidents_of_non_compliance_fined_G4_PR4_a1,https://wikirate.org/Global_Reporting_Initiative+Product_and_service_information_labeling_incidents_of_non_compliance_resulting_in_a_fine_GRI_417_2_formerly_G4_PR4
https://wikirate.org/Global_Reporting_Initiative+Product_and_service_and_labeling_incidents_of_non_compliance_warning_G4_PR4_a2,https://wikirate.org/Global_Reporting_Initiative+Product_and_service_information_labeling_incidents_of_non_compliance_resulting_in_a_warning_GRI_417_2_formerly_G4_PR4
https://wikirate.org/Global_Reporting_Initiative+Product_and_service_and_labeling_Incidents_of_non_compliance_to_voluntary_codes_G4_PR4_a3,https://wikirate.org/Global_Reporting_Initiative+Product_and_service_information_labeling_incidents_of_non_compliance_with_voluntary_codes_GRI_417_2_formerly_G4_PR4
https://wikirate.org/Global_Reporting_Initiative+Marketing_related_incidents_of_non_compliance_fined_G4_PR7_a1,https://wikirate.org/Global_Reporting_Initiative+Marketing_related_incidents_of_non_compliance_resulting_in_a_fine_GRI_417_3_formerly_G4_PR7
https://wikirate.org/Global_Reporting_Initiative+Marketing_related_incidents_of_non_compliance_warning_G4_PR7_a2,https://wikirate.org/Global_Reporting_Initiative+Marketing_related_incidents_of_non_compliance_resulting_in_a_warning_GRI_417_3_formerly_G4_PR7
https://wikirate.org/Global_Reporting_Initiative+Marketing_related_incidents_of_non_compliance_voluntary_codes_G4_PR7_a3,https://wikirate.org/Global_Reporting_Initiative+Marketing_related_incidents_of_non_compliance_with_voluntary_codes_GRI_417_3_formerly_G4_PR7
https://wikirate.org/Global_Reporting_Initiative+Complaints_concerning_breaches_of_customer_privacy_from_regulatory_bodies_G4_PR8_a2,https://wikirate.org/Global_Reporting_Initiative+Complaints_concerning_breaches_of_customer_privacy_from_regulatory_bodies_GRI_418_1_a_formerly_G4_PR8_a
https://wikirate.org/Global_Reporting_Initiative+Outside_party_complaints_concerning_breaches_of_customer_privacy_G4_PR8_a1,https://wikirate.org/Global_Reporting_Initiative+Complaints_concerning_breaches_of_customer_privacy_from_outside_parties_GRI_418_1_a_formerly_G4_PR8_a
https://wikirate.org/Global_Reporting_Initiative+Customer_data_leaks_thefts_losses_G4_PR8_b,https://wikirate.org/Global_Reporting_Initiative+Customer_data_leaks_thefts_and_losses_GRI_418_1_b_formerly_G4_PR8_b
https://wikirate.org/Global_Reporting_Initiative+Particulate_Matter_PM_emissions_G4_EN21_a,https://wikirate.org/Global_Reporting_Initiative+Particulate_Matter_PM_emissions_GRI_305_7_a_formerly_G4_EN21_a
https://wikirate.org/Vishal_Kapadia+Gender_Entry_Level_Pay_G4_EC5,https://wikirate.org/Global_Reporting_Initiative+Ratio_of_entry_level_wage_to_local_minimum_wage_by_gender_GRI_202_G4_EC5
