id1,name1,id2,name2,left_id,right_id,url1,,Comments
5758929,University of Sydney Business School 2020 - Environment (SDG 7 and SDG 13)+Metric,5712642,University of Sydney Business School 2020 - Environment (SDG 12 and SDG 13)+Metric,5712635,43576,https://wikirate.org/~5758929,https://wikirate.org/~5712642,Column B extra/duplicate data leftover from name change - can be deleted
5758930,University of Sydney Business School 2020 - Environment (SDG 7 and SDG 13)+Company,5712643,University of Sydney Business School 2020 - Environment (SDG 12 and SDG 13)+Company,5712635,651,https://wikirate.org/~5758930,https://wikirate.org/~5712643,Column B extra/duplicate data leftover from name change - can be deleted
5759464,Mexichem+Headquarters,3206190,Orbia+Headquarters,3206189,2917776,https://wikirate.org/~5759464,https://wikirate.org/~3206190,Column B extra/duplicate data leftover from name change - can be deleted
5759465,Mexichem+Wikipedia,3206194,Orbia+Wikipedia,3206189,3560,https://wikirate.org/~5759465,https://wikirate.org/~3206194,Column B extra/duplicate data leftover from name change - can be deleted
5759639,Business & Human Rights Resource Centre+Modern Slavery statement+Allied Irish Banks+2018+Discussion,5759638,Business & Human Rights Resource Centre+Modern Slavery statement+Allied Irish Banks+2019+Discussion,5759627,130,https://wikirate.org/~5759639,https://wikirate.org/~5759638,
5761422,Ditta Antonio Carcano SPA+Headquarters,3430563,Carcano Antonio Spa+Headquarters,3284654,2917776,https://wikirate.org/~5761422,https://wikirate.org/~3430563,
5761436,Trafigura Beheer BV+Headquarters,2923754,Trafigura+Headquarters,2615984,2917776,https://wikirate.org/~5761436,https://wikirate.org/~2923754,Name change (column B old)
5761437,Trafigura Beheer BV+Wikipedia,2783161,Trafigura+Wikipedia,2615984,3560,https://wikirate.org/~5761437,https://wikirate.org/~2783161,Name change (column B old)
5761439,"YTCL,Yuntinic Resources Inc.,Smelting Branch of Yunnan Tin Company Limited,Yun Nan Tin Co. LTD+Headquarters",5761438,Yunnan Tin Company Limited+Headquarters,4274141,2917776,https://wikirate.org/~5761439,https://wikirate.org/~5761438,
5761757,Artic+Headquarters,5761756,Arctic+Headquarters,5760405,2917776,https://wikirate.org/~5761757,https://wikirate.org/~5761756,Name change (column B old)
5761758,Artic+Wikipedia,5760406,Arctic+Wikipedia,5760405,3560,https://wikirate.org/~5761758,https://wikirate.org/~5760406,Name change (column B old)
5767212,"Eco-System Recycling Co., Ltd.+Headquarters",4537341,"Eco-System Recycling Co., Ltd. North Plant+Headquarters",3654770,2917776,https://wikirate.org/~5767212,https://wikirate.org/~4537341,
5767227,Gianni Versace SpA+Wikipedia,5658206,Gianni Versace S.r.l.+Wikipedia,4817668,3560,https://wikirate.org/~5767227,https://wikirate.org/~5658206,
5767228,Gianni Versace S.r.l.+Headquarters,5767226,Gianni Versace SpA+Headquarters,4817668,2917776,https://wikirate.org/~5767228,https://wikirate.org/~5767226,
5767246,Banana Republic+Headquarters,5767243,Banana Republic (part of Gap Inc.)+Headquarters,5451019,2917776,https://wikirate.org/~5767246,https://wikirate.org/~5767243,Name change (Column D old)
5767247,Banana Republic+Image,5767244,Banana Republic (part of Gap Inc.)+Image,5451019,19,https://wikirate.org/~5767247,https://wikirate.org/~5767244,Name change (Column D old)
