wikirate_company_name,wikirate_id,wikipedia_company_page
Cameco,51178,https://en.wikipedia.org/wiki/Cameco
Canadian Pacific Railway,48700,https://en.wikipedia.org/wiki/Canadian_Pacific_Railway_Limited
Power Corp of Canada,47883,https://en.wikipedia.org/wiki/Power_Corporation_of_Canada
Laurentian Bank,59022,https://en.wikipedia.org/wiki/Laurentian_Bank_of_Canada
Magna International,48022,https://en.wikipedia.org/wiki/Magna_International
Manulife Financial,47614,https://en.wikipedia.org/wiki/Manulife_Financial
SNC-Lavalin Group,50461,https://en.wikipedia.org/wiki/SNC-Lavalin
Petro-Canada,47489,https://en.wikipedia.org/wiki/Petro-Canada
Toronto-Dominion Bank,56442,https://en.wikipedia.org/wiki/Toronto-Dominion_Bank
Royal Bank of Canada,47368,https://en.wikipedia.org/wiki/Royal_Bank_of_Canada
Canadian Natural Resources,47786,https://en.wikipedia.org/wiki/Canadian_Natural_Resources_Ltd.
Masonite International,871079,https://en.wikipedia.org/wiki/Masonite_International
National Bank of Canada,48159,https://en.wikipedia.org/wiki/National_Bank_of_Canada
Talisman Energy,58343,https://en.wikipedia.org/wiki/Talisman_Energy
Saputo,49494,https://en.wikipedia.org/wiki/Saputo_Incorporated
Canadian Tire,57758,https://en.wikipedia.org/wiki/Canadian_Tire
Sun Life Financial,47775,https://en.wikipedia.org/wiki/Sun_Life_Assurance
TransCanada,47985,https://en.wikipedia.org/wiki/TransCanada_Corp.
Onex,49103,https://en.wikipedia.org/wiki/Onex_Corporation
Bank of Montreal,56779,https://en.wikipedia.org/wiki/Bank_of_Montreal
Agricultural Bank of China,47298,https://en.wikipedia.org/wiki/Agricultural_Bank_of_China
Hainan Airlines,58790,https://en.wikipedia.org/wiki/Hainan_Airlines
Gree Electric Appliances,48167,https://en.wikipedia.org/wiki/Gree_Electric
China Vanke,56880,https://en.wikipedia.org/wiki/Vanke
China Eastern Airlines,49322,https://en.wikipedia.org/wiki/China_Eastern_Airlines
Dongfeng Motor Group,48681,https://en.wikipedia.org/wiki/Dongfeng_Motors
China Southern Airlines,49357,https://en.wikipedia.org/wiki/China_Southern_Airlines
ZTE Corporation,49625,https://en.wikipedia.org/wiki/ZTE
BYD,49424,https://en.wikipedia.org/wiki/BYD_Auto
Bank of Communications,47395,https://en.wikipedia.org/wiki/Bank_of_Communications
Tsingtao Brewery,58962,https://en.wikipedia.org/wiki/Tsingtao_Brewery
China National Petroleum Corporation,837726,https://en.wikipedia.org/wiki/China_National_Petroleum_Corporation
China Construction Bank,47293,https://en.wikipedia.org/wiki/China_Construction_Bank
TCL Corp,58255,https://en.wikipedia.org/wiki/TCL_Corporation
Shui On Land,59118,https://en.wikipedia.org/wiki/Shui_On_Land
Shanghai Pudong Development,47550,https://en.wikipedia.org/wiki/Shanghai_Pudong_Development_Bank
China Mobile Ltd.,774110,https://en.wikipedia.org/wiki/China_Mobile
China International Marine,49888,https://en.wikipedia.org/wiki/China_International_Marine_Containers
Bank of China,56689,https://en.wikipedia.org/wiki/Bank_of_China
Xiaomi Technology Co. Ltd,38815,https://en.wikipedia.org/wiki/Xiaomi
Bavaria Colombia,974291,https://en.wikipedia.org/wiki/Bavaria_Brewery_(Colombia)
Banco Davivienda,58279,https://en.wikipedia.org/wiki/Davivienda
Bancolombia,57340,https://en.wikipedia.org/wiki/Bancolombia
Pacific Exploration & Production,968816,https://en.wikipedia.org/wiki/Pacific_Rubiales_Energy
Florida Ice & Farm Company (FIFCO),974329,https://en.wikipedia.org/wiki/Cerveceria_Costa_Rica
Eni,47347,https://en.wikipedia.org/wiki/ENI_%C4%8Cesk%C3%A1_republika
Vodacom Group Limited,800014,https://en.wikipedia.org/wiki/Vodacom
Barclays,56559,https://en.wikipedia.org/wiki/Barclays_Bank
Danske Bank,56828,https://en.wikipedia.org/wiki/Danske_Bank
Barrick Gold,56563,https://en.wikipedia.org/wiki/Barrick_Gold
Goldcorp,49483,https://en.wikipedia.org/wiki/Goldcorp
Teck Resources,56631,https://en.wikipedia.org/wiki/Teck_Cominco
Celestica Inc.,405907,https://en.wikipedia.org/wiki/Celestica
Sierra Wireless Inc.,776701,https://en.wikipedia.org/wiki/Sierra_Wireless
